Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,80703,4242,30403,0
1,2,1,1,1,1,76556,1152,30403,0
1,2,1,1,2,1,77105,641,30403,529
1,2,1,1,2,2,76589,641,30403,271
1,2,1,2,1,1,76556,1152,30403,0
1,2,1,2,2,1,77105,641,30403,529
1,2,1,2,2,2,76589,641,30403,271
1,2,2,1,1,1,79532,4736,30419,0
1,2,2,1,2,1,75937,609,30403,529
1,2,2,1,2,2,75421,609,30403,271
1,2,2,2,1,1,79532,4736,30419,0
1,2,2,2,2,1,75937,609,30403,529
1,2,2,2,2,2,75421,609,30403,271
1,4,2,1,1,1,75324,1056,30419,0
1,4,2,1,2,1,75855,1057,30419,529
1,4,2,1,2,2,75339,1057,30419,271
1,4,2,2,1,1,75324,1056,30419,0
1,4,2,2,2,1,75855,1057,30419,529
1,4,2,2,2,2,75339,1057,30419,271
1,4,3,1,1,1,75340,1088,30419,0
1,4,3,1,2,1,75855,1057,30419,529
1,4,3,1,2,2,75339,1057,30419,271
1,4,3,2,1,1,75340,1088,30419,0
1,4,3,2,2,1,75855,1057,30419,529
1,4,3,2,2,2,75339,1057,30419,271
1,4,4,1,1,1,75324,1088,30419,0
1,4,4,1,2,1,74814,49,30403,529
1,4,4,1,2,2,74298,49,30403,271
1,4,4,2,1,1,75324,1088,30419,0
1,4,4,2,2,1,74814,49,30403,529
1,4,4,2,2,2,74298,49,30403,271
2,1,1,1,1,1,40631,4242,30413,174
2,1,1,1,1,2,40585,4243,30413,94
2,2,1,1,1,1,38577,1123,30413,146
2,2,1,1,1,2,38473,1137,30413,79
2,2,1,1,2,1,38782,641,30413,723
2,2,1,1,2,2,38492,644,30413,371
2,2,1,1,2,4,38301,644,30413,192
2,2,1,2,1,1,38577,1123,30413,146
2,2,1,2,1,2,38473,1137,30413,79
2,2,1,2,2,1,38782,641,30413,723
2,2,1,2,2,2,38492,644,30413,371
2,2,1,2,2,4,38301,644,30413,192
2,2,2,1,1,1,39947,4736,30429,75
2,2,2,1,1,2,39916,4737,30429,59
2,2,2,1,2,1,38301,609,30413,837
2,2,2,1,2,2,37947,612,30413,410
2,2,2,1,2,4,37729,612,30413,207
2,2,2,2,1,1,39947,4736,30429,75
2,2,2,2,1,2,39916,4737,30429,59
2,2,2,2,2,1,38301,609,30413,837
2,2,2,2,2,2,37947,612,30413,410
2,2,2,2,2,4,37729,612,30413,207
2,4,2,1,1,1,37979,1044,30429,150
2,4,2,1,1,2,37853,1048,30429,78
2,4,2,1,2,1,38197,1059,30429,724
2,4,2,1,2,2,37876,1061,30429,381
2,4,2,1,2,4,37688,1061,30429,202
2,4,2,2,1,1,37979,1044,30429,150
2,4,2,2,1,2,37853,1048,30429,78
2,4,2,2,2,1,38197,1059,30429,724
2,4,2,2,2,2,37876,1061,30429,381
2,4,2,2,2,4,37688,1061,30429,202
2,4,3,1,1,1,38002,1071,30429,159
2,4,3,1,1,2,37869,1079,30429,83
2,4,3,1,2,1,38197,1059,30429,724
2,4,3,1,2,2,37876,1061,30429,381
2,4,3,1,2,4,37688,1061,30429,202
2,4,3,2,1,1,38002,1071,30429,159
2,4,3,2,1,2,37869,1079,30429,83
2,4,3,2,2,1,38197,1059,30429,724
2,4,3,2,2,2,37876,1061,30429,381
2,4,3,2,2,4,37688,1061,30429,202
2,4,4,1,1,1,37972,1073,30429,147
2,4,4,1,1,2,37859,1078,30429,82
2,4,4,1,2,1,37623,50,30413,699
2,4,4,1,2,2,37322,50,30413,366
2,4,4,1,2,4,37154,50,30413,202
2,4,4,2,1,1,37972,1073,30429,147
2,4,4,2,1,2,37859,1078,30429,82
2,4,4,2,2,1,37623,50,30413,699
2,4,4,2,2,2,37322,50,30413,366
2,4,4,2,2,4,37154,50,30413,202
4,1,1,1,1,1,20727,4246,30427,692
4,1,1,1,1,2,20495,4247,30427,312
4,1,1,1,1,4,20382,4247,30427,163
4,2,1,1,1,1,19710,1036,30427,704
4,2,1,1,1,2,19467,1100,30427,322
4,2,1,1,1,4,19346,1129,30427,172
4,2,1,1,2,1,19775,643,30427,1470
4,2,1,1,2,2,19450,648,30427,667
4,2,1,1,2,4,19283,648,30427,338
4,2,1,1,2,8,19228,648,30427,240
4,2,1,2,1,1,19710,1036,30427,704
4,2,1,2,1,2,19467,1100,30427,322
4,2,1,2,1,4,19346,1129,30427,172
4,2,1,2,2,1,19775,643,30427,1470
4,2,1,2,2,2,19450,648,30427,667
4,2,1,2,2,4,19283,648,30427,338
