Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,13635,58,3488,0
1,2,1,1,1,1,14620,1073,5532,0
1,2,1,1,2,1,14649,1075,5534,13
1,2,1,1,2,2,14643,1076,5535,8
1,2,1,2,1,1,14617,1073,5531,0
1,2,1,2,2,1,14658,1075,5537,13
1,2,1,2,2,2,14634,1076,5532,8
1,2,2,1,1,1,14594,1081,5542,0
1,2,2,1,2,1,14596,1067,5535,13
1,2,2,1,2,2,14590,1068,5536,8
1,2,2,2,1,1,14591,1081,5541,0
1,2,2,2,2,1,14593,1067,5534,13
1,2,2,2,2,2,14587,1068,5535,8
1,4,2,1,1,1,13522,17,5542,0
1,4,2,1,2,1,13533,19,5542,13
1,4,2,1,2,2,13525,19,5542,8
1,4,2,2,1,1,13510,17,5538,0
1,4,2,2,2,1,13527,19,5540,13
1,4,2,2,2,2,13525,19,5542,8
1,4,3,1,1,1,13524,25,5540,0
1,4,3,1,2,1,13527,19,5540,13
1,4,3,1,2,2,13528,19,5543,8
1,4,3,2,1,1,13521,25,5539,0
1,4,3,2,2,1,13536,19,5543,13
1,4,3,2,2,2,13528,19,5543,8
1,4,4,1,1,1,13528,25,5544,0
1,4,4,1,2,1,13531,19,5544,13
1,4,4,1,2,2,13520,19,5543,8
1,4,4,2,1,1,13519,25,5541,0
1,4,4,2,2,1,13525,19,5542,13
1,4,4,2,2,2,13511,19,5540,8
2,1,1,1,1,1,6926,59,3495,8
2,1,1,1,1,2,6937,60,3500,4
2,2,1,1,1,1,7427,1072,5543,25
2,2,1,1,1,2,7422,1072,5544,17
2,2,1,1,2,1,7442,1075,5545,42
2,2,1,1,2,2,7421,1079,5542,23
2,2,1,1,2,4,7427,1079,5544,13
2,2,1,2,1,1,7417,1073,5541,18
2,2,1,2,1,2,7422,1072,5544,17
2,2,1,2,2,1,7442,1075,5545,42
2,2,1,2,2,2,7430,1079,5545,21
2,2,1,2,2,4,7424,1079,5543,14
2,2,2,1,1,1,7406,1080,5551,19
2,2,2,1,1,2,7411,1082,5554,12
2,2,2,1,2,1,7409,1067,5543,42
2,2,2,1,2,2,7395,1071,5543,22
2,2,2,1,2,4,7401,1071,5545,14
2,2,2,2,1,1,7400,1081,5549,17
2,2,2,2,1,2,7393,1081,5548,15
2,2,2,2,2,1,7415,1067,5545,47
2,2,2,2,2,2,7401,1071,5545,21
2,2,2,2,2,4,7398,1071,5544,13
2,4,2,1,1,1,6872,17,5551,27
2,4,2,1,1,2,6863,18,5550,2
2,4,2,1,2,1,6878,21,5551,49
2,4,2,1,2,2,6875,23,5554,14
2,4,2,1,2,4,6876,23,5555,10
2,4,2,2,1,1,6867,17,5550,24
2,4,2,2,1,2,6872,18,5553,6
2,4,2,2,2,1,6878,21,5551,49
2,4,2,2,2,2,6874,23,5553,17
2,4,2,2,2,4,6864,23,5551,10
2,4,3,1,1,1,6871,24,5550,24
2,4,3,1,1,2,6867,25,5550,6
2,4,3,1,2,1,6878,21,5551,49
2,4,3,1,2,2,6874,23,5553,17
2,4,3,1,2,4,6864,23,5551,10
2,4,3,2,1,1,6879,23,5552,28
2,4,3,2,1,2,6876,26,5553,6
2,4,3,2,2,1,6875,21,5550,46
2,4,3,2,2,2,6874,23,5553,17
2,4,3,2,2,4,6879,23,5556,10
2,4,4,1,1,1,6870,24,5551,25
2,4,4,1,1,2,6866,26,5551,3
2,4,4,1,2,1,6872,21,5551,49
2,4,4,1,2,2,6859,22,5550,18
2,4,4,1,2,4,6866,23,5553,10
2,4,4,2,1,1,6870,24,5551,25
2,4,4,2,1,2,6860,26,5549,4
2,4,4,2,2,1,6871,21,5550,46
2,4,4,2,2,2,6871,22,5554,18
2,4,4,2,2,4,6860,23,5551,10
4,1,1,1,1,1,3604,64,3509,74
4,1,1,1,1,2,3587,63,3510,32
4,1,1,1,1,4,3581,64,3509,12
4,2,1,1,1,1,3844,1070,5560,114
4,2,1,1,1,2,3834,1073,5557,60
4,2,1,1,1,4,3828,1076,5559,42
4,2,1,1,2,1,3897,1077,5557,264
4,2,1,1,2,2,3838,1082,5557,86
4,2,1,1,2,4,3835,1082,5560,45
4,2,1,1,2,8,3833,1083,5558,35
4,2,1,2,1,1,3864,1069,5556,192
4,2,1,2,1,2,3834,1074,5556,56
4,2,1,2,1,4,3828,1076,5560,43
4,2,1,2,2,1,3857,1077,5560,170
4,2,1,2,2,2,3836,1083,5559,81
4,2,1,2,2,4,3835,1082,5559,42
4,2,1,2,2,8,3833,1083,5558,35
4,2,2,1,1,1,3837,1080,5563,184
4,2,2,1,1,2,3825,1081,5564,58
4,2,2,1,1,4,3819,1083,5562,44
4,2,2,1,2,1,3841,1069,5559,169
4,2,2,1,2,2,3821,1074,5559,85
4,2,2,1,2,4,3818,1074,5557,40
4,2,2,1,2,8,3818,1075,5560,33
4,2,2,2,1,1,3840,1077,5567,205
4,2,2,2,1,2,3825,1078,5567,65
4,2,2,2,1,4,3821,1084,5565,47
4,2,2,2,2,1,3890,1069,5557,268
4,2,2,2,2,2,3821,1074,5560,82
4,2,2,2,2,4,3818,1074,5557,40
4,2,2,2,2,8,3818,1074,5558,35
4,4,2,1,1,1,3568,17,5563,166
4,4,2,1,1,2,3557,18,5566,28
4,4,2,1,1,4,3551,19,5563,14
4,4,2,1,2,1,3575,25,5564,252
4,4,2,1,2,2,3556,29,5564,47
4,4,2,1,2,4,3551,29,5567,28
4,4,2,1,2,8,3551,29,5566,27
