Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles,IF Stalls, NOPs, Memory Ops
1,4,4,2,2,2,19778,1058,8292,0
1,4,4,2,2,2,19778,1058,8292,0
1,1,1,1,1,1,19808,58,7252,0
1,2,1,1,1,1,21887,1057,9332,0
1,2,1,1,2,1,22918,1058,8309,1029
1,2,1,1,2,2,20862,1060,8309,0
1,2,1,2,1,1,21887,1057,9332,0
1,2,1,2,2,1,22918,1058,8309,1029
1,2,1,2,2,2,20862,1060,8309,0
1,2,2,1,1,1,21887,1065,9332,0
1,2,2,1,2,1,21894,1066,8309,1029
1,2,2,1,2,2,19838,1068,8309,0
1,2,2,2,1,1,21887,1065,9332,0
1,2,2,2,2,1,21894,1066,8309,1029
1,2,2,2,2,2,19838,1068,8309,0
1,4,2,1,1,1,21862,1057,9332,0
1,4,2,1,2,1,20845,42,8309,1029
1,4,2,1,2,2,18788,43,8309,0
1,4,2,2,1,1,21862,1057,9332,0
1,4,2,2,2,1,20845,42,8309,1029
1,4,2,2,2,2,18788,43,8309,0
1,4,3,1,1,1,21862,1065,9332,0
1,4,3,1,2,1,20845,50,8309,1029
1,4,3,1,2,2,18788,51,8309,0
1,4,3,2,1,1,21862,1065,9332,0
1,4,3,2,2,1,20845,50,8309,1029
1,4,3,2,2,2,18788,51,8309,0
1,4,4,1,1,1,21862,1065,9332,0
1,4,4,1,2,1,20845,50,8309,1029
1,4,4,1,2,2,18788,51,8309,0
1,4,4,2,1,1,21862,1065,9332,0
1,4,4,2,2,1,20845,50,8309,1029
1,4,4,2,2,2,18788,51,8309,0
2,1,1,1,1,1,9918,60,7256,3
2,1,1,1,1,2,9916,60,7256,1
2,2,1,1,1,1,10957,1058,9336,3
2,2,1,1,1,2,10955,1058,9336,1
2,2,1,1,2,1,11475,1059,8313,1037
2,2,1,1,2,2,10444,1062,8313,3
2,2,1,1,2,4,10442,1062,8313,1
2,2,1,2,1,1,10957,1058,9336,3
2,2,1,2,1,2,10955,1058,9336,1
2,2,1,2,2,1,11475,1059,8313,1037
2,2,1,2,2,2,10444,1062,8313,3
2,2,1,2,2,4,10442,1062,8313,1
