Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,19817,58,0,0
1,2,1,1,1,1,18728,0,0,0
1,2,1,1,2,1,19767,0,0,1037
1,2,1,1,2,2,17709,0,0,8
1,2,1,2,1,1,18728,0,0,0
1,2,1,2,2,1,19767,0,0,1037
1,2,1,2,2,2,17709,0,0,8
1,2,2,1,1,1,18720,0,0,0
1,2,2,1,2,1,18735,0,0,1037
1,2,2,1,2,2,16677,0,0,8
1,2,2,2,1,1,18720,0,0,0
1,2,2,2,2,1,18735,0,0,1037
1,2,2,2,2,2,16677,0,0,8
1,4,3,1,1,1,18681,0,0,0
1,4,3,1,2,1,18695,0,0,1037
1,4,3,1,2,2,16637,0,0,8
1,4,3,2,1,1,18681,0,0,0
1,4,3,2,2,1,18695,0,0,1037
1,4,3,2,2,2,16637,0,0,8
1,4,4,1,1,1,18681,0,0,0
1,4,4,1,2,1,18695,0,0,1037
1,4,4,1,2,2,16637,0,0,8
1,4,4,2,1,1,18681,0,0,0
1,4,4,2,2,1,18695,0,0,1037
1,4,4,2,2,2,16637,0,0,8
2,1,1,1,1,1,9923,60,0,3
2,1,1,1,1,2,9921,60,0,1
2,2,1,1,1,1,9378,0,0,4
2,2,1,1,1,2,9376,0,0,1
2,2,1,1,2,1,9900,0,0,1046
2,2,1,1,2,2,8867,0,0,12
2,2,1,1,2,4,8865,0,0,9
2,2,1,2,1,1,9378,0,0,4
2,2,1,2,1,2,9376,0,0,1
2,2,1,2,2,1,9900,0,0,1046
2,2,1,2,2,2,8867,0,0,12
2,2,1,2,2,4,8865,0,0,9
2,2,2,1,1,1,9374,0,0,4
2,2,2,1,1,2,9372,0,0,1
2,2,2,1,2,1,9386,0,0,1045
2,2,2,1,2,2,8351,0,0,12
2,2,2,1,2,4,8349,0,0,9
2,2,2,2,1,1,9374,0,0,4
2,2,2,2,1,2,9372,0,0,1
2,2,2,2,2,1,9386,0,0,1045
2,2,2,2,2,2,8351,0,0,12
2,2,2,2,2,4,8349,0,0,9
2,4,3,1,1,1,9355,0,0,4
2,4,3,1,1,2,9353,0,0,1
2,4,3,1,2,1,9365,0,0,1048
2,4,3,1,2,2,8331,0,0,13
2,4,3,1,2,4,8329,0,0,10
2,4,3,2,1,1,9355,0,0,4
2,4,3,2,1,2,9360,0,0,2
2,4,3,2,2,1,9365,0,0,1048
2,4,3,2,2,2,8331,0,0,13
2,4,3,2,2,4,8329,0,0,10
2,4,4,1,1,1,9355,0,0,4
2,4,4,1,1,2,9353,0,0,1
2,4,4,1,2,1,9365,0,0,1048
2,4,4,1,2,2,8331,0,0,13
2,4,4,1,2,4,8329,0,0,10
2,4,4,2,1,1,9355,0,0,4
2,4,4,2,1,2,9353,0,0,1
2,4,4,2,2,1,9377,0,0,1057
2,4,4,2,2,2,8331,0,0,13
2,4,4,2,2,4,8329,0,0,10
4,1,1,1,1,1,4991,61,0,36
4,1,1,1,1,2,4978,64,0,14
4,1,1,1,1,4,4976,64,0,6
4,2,1,1,1,1,4733,0,0,47
4,2,1,1,1,2,4705,0,0,12
4,2,1,1,1,4,4703,0,0,6
4,2,1,1,2,1,4974,0,0,1093
4,2,1,1,2,2,4449,0,0,25
4,2,1,1,2,4,4446,0,0,14
4,2,1,1,2,8,4446,0,0,14
4,2,1,2,1,1,4733,0,0,47
4,2,1,2,1,2,4705,0,0,12
4,2,1,2,1,4,4705,0,0,7
4,2,1,2,2,1,4974,0,0,1093
4,2,1,2,2,2,4449,0,0,25
4,2,1,2,2,4,4446,0,0,14
4,2,1,2,2,8,4446,0,0,14
4,2,2,1,1,1,4731,0,0,46
4,2,2,1,1,2,4703,0,0,12
4,2,2,1,1,4,4701,0,0,6
4,2,2,1,2,1,4720,0,0,1105
4,2,2,1,2,2,4191,0,0,25
4,2,2,1,2,4,4188,0,0,14
4,2,2,1,2,8,4188,0,0,14
4,2,2,2,1,1,4731,0,0,46
4,2,2,2,1,2,4703,0,0,12
4,2,2,2,1,4,4701,0,0,6
4,2,2,2,2,1,4720,0,0,1105
4,2,2,2,2,2,4191,0,0,25
4,2,2,2,2,4,4188,0,0,14
4,2,2,2,2,8,4188,0,0,14
4,4,3,1,1,1,4721,0,0,41
4,4,3,1,1,2,4696,0,0,15
4,4,3,1,1,4,4692,0,0,6
4,4,3,1,2,1,4709,0,0,1111
4,4,3,1,2,2,4183,0,0,33
4,4,3,1,2,4,4178,0,0,20
4,4,3,1,2,8,4178,0,0,20
4,4,3,2,1,1,4710,0,0,36
4,4,3,2,1,2,4696,0,0,15
4,4,3,2,1,4,4694,0,0,7
4,4,3,2,2,1,4709,0,0,1111
4,4,3,2,2,2,4183,0,0,33
4,4,3,2,2,4,4178,0,0,20
4,4,3,2,2,8,4178,0,0,20
4,4,4,1,1,1,4710,0,0,36
4,4,4,1,1,2,4696,0,0,15
4,4,4,1,1,4,4694,0,0,7
4,4,4,1,2,1,4709,0,0,1111
4,4,4,1,2,2,4183,0,0,33
4,4,4,1,2,4,4178,0,0,20
4,4,4,1,2,8,4178,0,0,20
4,4,4,2,1,1,4710,0,0,36
4,4,4,2,1,2,4696,0,0,15
4,4,4,2,1,4,4692,0,0,6
4,4,4,2,2,1,4709,0,0,1111
4,4,4,2,2,2,4183,0,0,33
4,4,4,2,2,4,4178,0,0,20
4,4,4,2,2,8,4178,0,0,20
8,1,1,1,1,1,2734,58,0,1004
8,1,1,1,1,2,2513,72,0,94
8,1,1,1,1,4,2501,72,0,28
8,1,1,1,1,8,2501,72,0,28
8,2,1,1,1,1,2654,0,0,1225
8,2,1,1,1,2,2375,0,0,89
8,2,1,1,1,4,2366,0,0,29
8,2,1,1,1,8,2366,0,0,29
8,2,1,1,2,1,2520,0,0,1344
8,2,1,1,2,2,2249,0,0,111
8,2,1,1,2,4,2236,0,0,38
