Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,17114,58,6357,0
1,2,1,1,1,1,18167,1057,7412,0
1,2,1,1,2,1,19712,547,7413,1029
1,2,1,1,2,2,17656,549,7413,0
1,2,1,2,1,1,18167,1057,7412,0
1,2,1,2,2,1,19710,545,7413,1029
1,2,1,2,2,2,17656,549,7413,0
1,2,2,1,1,1,18167,1057,7412,0
1,2,2,1,2,1,19200,1059,7413,1029
1,2,2,1,2,2,17144,1061,7413,0
1,2,2,2,1,1,18167,1057,7412,0
1,2,2,2,2,1,19198,1057,7413,1029
1,2,2,2,2,2,17141,1058,7413,0
1,4,2,1,1,1,17103,26,7404,0
1,4,2,1,2,1,18637,546,7397,1029
1,4,2,1,2,2,16580,547,7397,0
1,4,2,2,1,1,17103,26,7404,0
1,4,2,2,2,1,18637,546,7397,1029
1,4,2,2,2,2,16580,547,7397,0
1,4,3,1,1,1,17103,26,7404,0
1,4,3,1,2,1,18639,548,7397,1029
1,4,3,1,2,2,16579,546,7397,0
1,4,3,2,1,1,17103,26,7404,0
1,4,3,2,2,1,18637,546,7397,1029
1,4,3,2,2,2,16581,548,7397,0
1,4,4,1,1,1,17103,26,7404,0
1,4,4,1,2,1,18637,546,7397,1029
1,4,4,1,2,2,16580,547,7397,0
1,4,4,2,1,1,17103,26,7404,0
1,4,4,2,2,1,18639,548,7397,1029
1,4,4,2,2,2,16580,547,7397,0
1,1,1,1,1,1,17114,58,6357,0
1,2,1,1,1,1,18167,1057,7412,0
1,2,1,1,2,1,19712,547,7413,1029
1,2,1,1,2,2,17656,549,7413,0
1,2,1,2,1,1,18167,1057,7412,0
1,2,1,2,2,1,19710,545,7413,1029
1,2,1,2,2,2,17656,549,7413,0
1,2,2,1,1,1,18167,1057,7412,0
1,2,2,1,2,1,19200,1059,7413,1029
1,2,2,1,2,2,17141,1058,7413,0
1,2,2,2,1,1,18167,1057,7412,0
1,2,2,2,2,1,19198,1057,7413,1029
1,2,2,2,2,2,17144,1061,7413,0
