Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,17123,58,0,0
1,2,1,1,1,1,16929,0,0,0
1,2,1,1,2,1,17968,0,0,1037
1,2,1,1,2,2,15910,0,0,8
1,2,1,2,1,1,16929,0,0,0
1,2,1,2,2,1,17968,0,0,1037
1,2,1,2,2,2,15910,0,0,8
1,2,2,1,1,1,16921,0,0,0
1,2,2,1,2,1,16936,0,0,1037
1,2,2,1,2,2,14878,0,0,8
1,2,2,2,1,1,16921,0,0,0
1,2,2,2,2,1,16936,0,0,1037
1,2,2,2,2,2,14878,0,0,8
1,4,3,1,1,1,16890,0,0,0
1,4,3,1,2,1,16903,0,0,1037
1,4,3,1,2,2,14845,0,0,8
1,4,3,2,1,1,16890,0,0,0
1,4,3,2,2,1,16903,0,0,1037
1,4,3,2,2,2,14845,0,0,8
1,4,4,1,1,1,16890,0,0,0
1,4,4,1,2,1,16903,0,0,1037
1,4,4,1,2,2,14845,0,0,8
1,4,4,2,1,1,16890,0,0,0
1,4,4,2,2,1,16903,0,0,1037
1,4,4,2,2,2,14845,0,0,8
2,1,1,1,1,1,8577,60,0,3
2,1,1,1,1,2,8575,60,0,1
2,2,1,1,1,1,8479,0,0,4
2,2,1,1,1,2,8477,0,0,1
2,2,1,1,2,1,9002,0,0,1046
2,2,1,1,2,2,7968,0,0,12
2,2,1,1,2,4,7966,0,0,9
2,2,1,2,1,1,8479,0,0,4
2,2,1,2,1,2,8477,0,0,1
2,2,1,2,2,1,9002,0,0,1046
2,2,1,2,2,2,7968,0,0,12
2,2,1,2,2,4,7966,0,0,9
2,2,2,1,1,1,8475,0,0,4
2,2,2,1,1,2,8473,0,0,1
2,2,2,1,2,1,8486,0,0,1046
2,2,2,1,2,2,7452,0,0,12
2,2,2,1,2,4,7450,0,0,9
2,2,2,2,1,1,8475,0,0,4
2,2,2,2,1,2,8473,0,0,1
2,2,2,2,2,1,8486,0,0,1046
2,2,2,2,2,2,7452,0,0,12
2,2,2,2,2,4,7450,0,0,9
2,4,3,1,1,1,8460,0,0,4
2,4,3,1,1,2,8458,0,0,1
2,4,3,1,2,1,8469,0,0,1054
2,4,3,1,2,2,7435,0,0,13
2,4,3,1,2,4,7433,0,0,10
2,4,3,2,1,1,8460,0,0,4
2,4,3,2,1,2,8458,0,0,1
2,4,3,2,2,1,8469,0,0,1054
2,4,3,2,2,2,7435,0,0,13
2,4,3,2,2,4,7433,0,0,10
2,4,4,1,1,1,8460,0,0,4
2,4,4,1,1,2,8458,0,0,1
2,4,4,1,2,1,8469,0,0,1054
2,4,4,1,2,2,7435,0,0,13
2,4,4,1,2,4,7433,0,0,10
2,4,4,2,1,1,8460,0,0,4
2,4,4,2,1,2,8458,0,0,1
2,4,4,2,2,1,8469,0,0,1054
2,4,4,2,2,2,7435,0,0,13
2,4,4,2,2,4,7433,0,0,10
4,1,1,1,1,1,4657,58,0,684
4,1,1,1,1,2,4310,64,0,17
4,1,1,1,1,4,4308,64,0,8
4,2,1,1,1,1,4280,0,0,41
4,2,1,1,1,2,4268,0,0,21
4,2,1,1,1,4,4256,0,0,7
4,2,1,1,2,1,4537,0,0,1126
4,2,1,1,2,2,4002,0,0,29
4,2,1,1,2,4,3997,0,0,14
4,2,1,1,2,8,3997,0,0,14
4,2,1,2,1,1,4280,0,0,41
4,2,1,2,1,2,4268,0,0,21
4,2,1,2,1,4,4256,0,0,7
4,2,1,2,2,1,4537,0,0,1126
4,2,1,2,2,2,4002,0,0,29
4,2,1,2,2,4,3997,0,0,14
4,2,1,2,2,8,3997,0,0,14
4,2,2,1,1,1,4274,0,0,38
4,2,2,1,1,2,4266,0,0,20
4,2,2,1,1,4,4254,0,0,7
4,2,2,1,2,1,4278,0,0,1124
4,2,2,1,2,2,3746,0,0,30
4,2,2,1,2,4,3741,0,0,16
4,2,2,1,2,8,3739,0,0,14
4,2,2,2,1,1,4274,0,0,38
4,2,2,2,1,2,4266,0,0,20
4,2,2,2,1,4,4254,0,0,7
4,2,2,2,2,1,4278,0,0,1124
4,2,2,2,2,2,3746,0,0,30
4,2,2,2,2,4,3741,0,0,16
4,2,2,2,2,8,3741,0,0,16
4,4,3,1,1,1,4269,0,0,45
4,4,3,1,1,2,4251,0,0,16
4,4,3,1,1,4,4247,0,0,7
4,4,3,1,2,1,4273,0,0,1148
4,4,3,1,2,2,3735,0,0,35
4,4,3,1,2,4,3732,0,0,22
4,4,3,1,2,8,3730,0,0,20
4,4,3,2,1,1,4269,0,0,45
4,4,3,2,1,2,4251,0,0,16
4,4,3,2,1,4,4247,0,0,7
4,4,3,2,2,1,4272,0,0,1140
4,4,3,2,2,2,3735,0,0,35
4,4,3,2,2,4,3732,0,0,22
4,4,3,2,2,8,3730,0,0,20
4,4,4,1,1,1,4269,0,0,45
4,4,4,1,1,2,4251,0,0,16
4,4,4,1,1,4,4247,0,0,7
4,4,4,1,2,1,4272,0,0,1140
4,4,4,1,2,2,3735,0,0,33
4,4,4,1,2,4,3737,0,0,22
4,4,4,1,2,8,3730,0,0,20
4,4,4,2,1,1,4269,0,0,45
4,4,4,2,1,2,4251,0,0,16
4,4,4,2,1,4,4247,0,0,7
4,4,4,2,2,1,4272,0,0,1140
4,4,4,2,2,2,3735,0,0,35
4,4,4,2,2,4,3732,0,0,22
4,4,4,2,2,8,3730,0,0,20
8,1,1,1,1,1,2496,63,0,1268
8,1,1,1,1,2,2178,69,0,92
8,1,1,1,1,4,2170,72,0,30
8,1,1,1,1,8,2166,72,0,28
8,2,1,1,1,1,2492,0,0,1407
8,2,1,1,1,2,2152,0,0,93
