Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,576465,16706,148100,0
1,2,1,1,1,1,563847,37002,180916,0
1,2,1,1,2,1,563980,37003,180916,66
1,2,1,1,2,2,563976,37003,180916,64
1,2,1,2,1,1,563847,37002,180916,0
1,2,1,2,2,1,563980,37003,180916,66
1,2,1,2,2,2,563976,37003,180916,64
1,2,2,1,1,1,518797,57800,197500,0
1,2,2,1,2,1,568565,107484,197451,66
1,2,2,1,2,2,568561,107484,197451,64
1,2,2,2,1,1,518797,57800,197500,0
1,2,2,2,2,1,568565,107484,197451,66
1,2,2,2,2,2,568561,107484,197451,64
1,4,2,1,1,1,520779,59896,197450,0
1,4,2,1,2,1,520791,59841,197450,66
1,4,2,1,2,2,520787,59841,197450,64
1,4,2,2,1,1,504532,60032,197450,0
1,4,2,2,2,1,504543,59977,197450,66
1,4,2,2,2,2,504539,59977,197450,64
1,4,3,1,1,1,491829,63856,197436,0
1,4,3,1,2,1,489992,61938,197450,66
1,4,3,1,2,2,489988,61938,197450,64
1,4,3,2,1,1,477493,65904,197436,0
1,4,3,2,2,1,473745,62075,197450,66
1,4,3,2,2,2,473741,62075,197450,64
1,4,4,1,1,1,491829,63856,197436,0
1,4,4,1,2,1,489992,61938,197450,66
1,4,4,1,2,2,489988,61938,197450,64
1,4,4,2,1,1,477493,65904,197436,0
1,4,4,2,2,1,473745,62075,197450,66
1,4,4,2,2,2,473741,62075,197450,64
2,1,1,1,1,1,288262,16706,148110,7
2,1,1,1,1,2,288257,16708,148110,2
2,2,1,1,1,1,281950,37000,180926,8
2,2,1,1,1,2,281946,37003,180926,2
2,2,1,1,2,1,282019,37003,180926,83
2,2,1,1,2,2,282008,37006,180926,66
2,2,1,1,2,4,282008,37006,180926,66
2,2,1,2,1,1,281950,37000,180926,8
2,2,1,2,1,2,281946,37003,180926,2
2,2,1,2,2,1,282019,37003,180926,83
2,2,1,2,2,2,282008,37006,180926,66
2,2,1,2,2,4,282008,37006,180926,66
