Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,570449,2370,199428,0
1,2,1,1,1,1,549702,31033,199364,0
1,2,1,1,2,1,549843,31042,199364,66
1,2,1,1,2,2,549839,31042,199364,64
1,2,1,2,1,1,535366,33081,199364,0
1,2,1,2,2,1,535507,33090,199364,66
1,2,1,2,2,2,535503,33090,199364,64
1,2,2,1,1,1,505440,60811,201611,0
1,2,2,1,2,1,511767,67070,201547,66
1,2,2,1,2,2,511763,67070,201547,64
1,2,2,2,1,1,492537,64293,201611,0
1,2,2,2,2,1,508285,79973,201547,66
1,2,2,2,2,2,508281,79973,201547,64
1,4,2,1,1,1,472824,28324,201547,0
1,4,2,1,2,1,472836,28269,201547,66
1,4,2,1,2,2,472832,28269,201547,64
1,4,2,2,1,1,456440,28324,201547,0
1,4,2,2,2,1,456452,28269,201547,66
1,4,2,2,2,2,456448,28269,201547,64
1,4,3,1,1,1,457977,29989,201547,0
1,4,3,1,2,1,458045,29991,201547,66
1,4,3,1,2,2,458041,29991,201547,64
1,4,3,2,1,1,441593,29989,201547,0
1,4,3,2,2,1,441661,29991,201547,66
1,4,3,2,2,2,441657,29991,201547,64
1,4,4,1,1,1,453881,29989,201547,0
1,4,4,1,2,1,453949,29991,201547,66
1,4,4,1,2,2,453945,29991,201547,64
1,4,4,2,1,1,437497,29989,201547,0
1,4,4,2,2,1,437565,29991,201547,66
1,4,4,2,2,2,437561,29991,201547,64
2,1,1,1,1,1,285254,2370,199438,7
2,1,1,1,1,2,285249,2372,199438,2
2,2,1,1,1,1,274878,31031,199374,8
2,2,1,1,1,2,274874,31034,199374,2
2,2,1,1,2,1,274950,31042,199374,83
2,2,1,1,2,2,274939,31045,199374,66
2,2,1,1,2,4,274939,31045,199374,66
2,2,1,2,1,1,267710,33079,199374,8
2,2,1,2,1,2,267706,33082,199374,2
2,2,1,2,2,1,267782,33090,199374,83
2,2,1,2,2,2,267771,33093,199374,66
2,2,1,2,2,4,267771,33093,199374,66
2,2,2,1,1,1,252746,60809,201621,8
2,2,2,1,1,2,252742,60812,201621,2
2,2,2,1,2,1,255911,67071,201557,83
2,2,2,1,2,2,255900,67074,201557,66
2,2,2,1,2,4,255900,67074,201557,66
2,2,2,2,1,1,246294,64291,201621,8
2,2,2,2,1,2,246290,64294,201621,2
2,2,2,2,2,1,254170,79973,201557,83
2,2,2,2,2,2,254159,79976,201557,66
2,2,2,2,2,4,254159,79976,201557,66
2,4,2,1,1,1,236438,28323,201557,8
2,4,2,1,1,2,236433,28324,201557,2
2,4,2,1,2,1,236444,28269,201557,83
2,4,2,1,2,2,236437,28271,201557,69
2,4,2,1,2,4,236435,28271,201557,66
2,4,2,2,1,1,228246,28323,201557,8
2,4,2,2,1,2,228241,28324,201557,2
2,4,2,2,2,1,228252,28269,201557,83
2,4,2,2,2,2,228245,28271,201557,69
2,4,2,2,2,4,228243,28271,201557,66
2,4,3,1,1,1,229015,29988,201557,8
2,4,3,1,1,2,229010,29989,201557,2
2,4,3,1,2,1,229049,29991,201557,83
2,4,3,1,2,2,229042,29993,201557,69
2,4,3,1,2,4,229039,29993,201557,66
2,4,3,2,1,1,220823,29988,201557,8
2,4,3,2,1,2,220818,29989,201557,2
2,4,3,2,2,1,220857,29991,201557,83
2,4,3,2,2,2,220850,29993,201557,69
2,4,3,2,2,4,220847,29993,201557,66
2,4,4,1,1,1,226967,29988,201557,8
2,4,4,1,1,2,226962,29989,201557,2
2,4,4,1,2,1,227001,29991,201557,83
2,4,4,1,2,2,226994,29993,201557,69
2,4,4,1,2,4,226991,29993,201557,66
2,4,4,2,1,1,218775,29988,201557,8
