Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,576730,16706,0,0
1,2,1,1,1,1,477528,0,0,0
1,2,1,1,2,1,494043,0,0,16450
1,2,1,1,2,2,489943,0,0,14400
1,2,1,2,1,1,461144,0,0,0
1,2,1,2,2,1,477659,0,0,16450
1,2,1,2,2,2,473559,0,0,14400
1,2,2,1,1,1,411871,0,0,0
1,2,2,1,2,1,428386,0,0,16450
1,2,2,1,2,2,424286,0,0,14400
1,2,2,2,1,1,395487,0,0,0
1,2,2,2,2,1,412002,0,0,16450
1,2,2,2,2,2,407902,0,0,14400
1,4,3,1,1,1,395161,0,0,0
1,4,3,1,2,1,444386,0,0,32834
1,4,3,1,2,2,436190,0,0,28736
1,4,3,2,1,1,378777,0,0,0
1,4,3,2,2,1,428002,0,0,32834
1,4,3,2,2,2,419806,0,0,28736
1,4,4,1,1,1,378713,0,0,0
1,4,4,1,2,1,411554,0,0,32834
1,4,4,1,2,2,403358,0,0,28736
1,4,4,2,1,1,362329,0,0,0
1,4,4,2,2,1,395170,0,0,32834
1,4,4,2,2,2,386974,0,0,28736
2,1,1,1,1,1,288379,16707,0,4
2,1,1,1,1,2,288376,16708,0,1
2,2,1,1,1,1,238778,0,0,4
2,2,1,1,1,2,238776,0,0,2
2,2,1,1,2,1,247034,0,0,16458
2,2,1,1,2,2,244985,0,0,14407
2,2,1,1,2,4,243070,0,0,12489
2,2,1,2,1,1,230586,0,0,4
2,2,1,2,1,2,230584,0,0,2
2,2,1,2,2,1,238842,0,0,16458
2,2,1,2,2,2,236793,0,0,14407
2,2,1,2,2,4,234878,0,0,12489
2,2,2,1,1,1,205950,0,0,4
2,2,2,1,1,2,205948,0,0,2
2,2,2,1,2,1,214206,0,0,16458
2,2,2,1,2,2,212157,0,0,14407
2,2,2,1,2,4,210242,0,0,12489
2,2,2,2,1,1,197758,0,0,4
2,2,2,2,1,2,197756,0,0,2
2,2,2,2,2,1,206014,0,0,16458
2,2,2,2,2,2,203965,0,0,14407
2,2,2,2,2,4,202050,0,0,12489
2,4,3,1,1,1,197595,0,0,4
2,4,3,1,1,2,197593,0,0,2
2,4,3,1,2,1,222207,0,0,32846
2,4,3,1,2,2,218107,0,0,28742
2,4,3,1,2,4,214282,0,0,24915
2,4,3,2,1,1,189403,0,0,4
2,4,3,2,1,2,189401,0,0,2
2,4,3,2,2,1,214015,0,0,32846
2,4,3,2,2,2,209915,0,0,28742
2,4,3,2,2,4,206090,0,0,24915
2,4,4,1,1,1,189371,0,0,4
2,4,4,1,1,2,189369,0,0,2
2,4,4,1,2,1,205791,0,0,32846
2,4,4,1,2,2,201691,0,0,28742
2,4,4,1,2,4,197866,0,0,24915
2,4,4,2,1,1,181179,0,0,4
2,4,4,2,1,2,181177,0,0,2
2,4,4,2,2,1,197599,0,0,32846
2,4,4,2,2,2,193499,0,0,28742
2,4,4,2,2,4,189674,0,0,24915
4,1,1,1,1,1,144221,16709,0,40
4,1,1,1,1,2,144210,16712,0,21
4,1,1,1,1,4,144206,16712,0,9
4,2,1,1,1,1,127607,0,0,16421
4,2,1,1,1,2,126576,0,0,14351
4,2,1,1,1,4,119403,0,0,9
4,2,1,1,2,1,123536,0,0,16503
4,2,1,1,2,2,122513,0,0,14428
4,2,1,1,2,4,121548,0,0,12497
4,2,1,1,2,8,120660,0,0,10722
4,2,1,2,1,1,123511,0,0,16421
4,2,1,2,1,2,122480,0,0,14351
4,2,1,2,1,4,115307,0,0,9
4,2,1,2,2,1,119440,0,0,16503
4,2,1,2,2,2,118417,0,0,14428
4,2,1,2,2,4,117452,0,0,12497
4,2,1,2,2,8,116564,0,0,10722
4,2,2,1,1,1,111246,0,0,16461
4,2,2,1,1,2,110162,0,0,14354
4,2,2,1,1,4,109200,0,0,12429
4,2,2,1,2,1,107122,0,0,16503
4,2,2,1,2,2,106102,0,0,14435
4,2,2,1,2,4,105142,0,0,12505
4,2,2,1,2,8,104252,0,0,10728
4,2,2,2,1,1,109835,0,0,22883
4,2,2,2,1,2,106066,0,0,14354
4,2,2,2,1,4,105104,0,0,12429
4,2,2,2,2,1,103026,0,0,16503
4,2,2,2,2,2,102006,0,0,14435
4,2,2,2,2,4,101046,0,0,12505
4,2,2,2,2,8,100156,0,0,10728
4,4,3,1,1,1,108915,0,0,20875
4,4,3,1,1,2,98832,0,0,33
4,4,3,1,1,4,98820,0,0,20
4,4,3,1,2,1,111125,0,0,32901
4,4,3,1,2,2,109069,0,0,28768
4,4,3,1,2,4,107153,0,0,24929
4,4,3,1,2,8,105378,0,0,21379
4,4,3,2,1,1,104778,0,0,20180
4,4,3,2,1,2,94736,0,0,33
4,4,3,2,1,4,94724,0,0,20
4,4,3,2,2,1,107029,0,0,32901
4,4,3,2,2,2,104973,0,0,28768
4,4,3,2,2,4,103057,0,0,24929
4,4,3,2,2,8,101282,0,0,21379
4,4,4,1,1,1,102905,0,0,16424
4,4,4,1,1,2,101874,0,0,14354
4,4,4,1,1,4,100911,0,0,12432
4,4,4,1,2,1,102917,0,0,32901
4,4,4,1,2,2,100861,0,0,28768
4,4,4,1,2,4,98945,0,0,24929
4,4,4,1,2,8,97170,0,0,21379
4,4,4,2,1,1,98809,0,0,16424
4,4,4,2,1,2,97778,0,0,14354
4,4,4,2,1,4,96815,0,0,12432
4,4,4,2,2,1,98821,0,0,32901
4,4,4,2,2,2,96765,0,0,28768
4,4,4,2,2,4,94849,0,0,24929
4,4,4,2,2,8,93074,0,0,21379
8,1,1,1,1,1,86376,16676,0,68319
8,1,1,1,1,2,74490,16708,0,9268
8,1,1,1,1,4,72167,16718,0,163
8,1,1,1,1,8,72154,16720,0,140
8,2,1,1,1,1,75186,0,0,74656
8,2,1,1,1,2,65607,0,0,24014
8,2,1,1,1,4,61945,0,0,9067
8,2,1,1,1,8,60225,0,0,1639
8,2,1,1,2,1,73712,0,0,106612
8,2,1,1,2,2,61354,0,0,14856
8,2,1,1,2,4,60814,0,0,12640
8,2,1,1,2,8,60366,0,0,10847
8,2,1,2,1,1,72669,0,0,73008
8,2,1,2,1,2,63506,0,0,23324
8,2,1,2,1,4,62082,0,0,18408
8,2,1,2,1,8,60189,0,0,9290
8,2,1,2,2,1,68867,0,0,86563
8,2,1,2,2,2,59529,0,0,15785
8,2,1,2,2,4,58766,0,0,12640
8,2,1,2,2,8,58318,0,0,10847
8,2,2,1,1,1,68832,0,0,85333
8,2,2,1,1,2,57754,0,0,24919
8,2,2,1,1,4,54366,0,0,11187
8,2,2,1,1,8,54813,0,0,12558
8,2,2,1,2,1,69190,0,0,139372
8,2,2,1,2,2,53625,0,0,16951
8,2,2,1,2,4,52628,0,0,12708
8,2,2,1,2,8,52167,0,0,10864
8,2,2,2,1,1,67508,0,0,88244
8,2,2,2,1,2,56640,0,0,28784
8,2,2,2,1,4,53373,0,0,15656
8,2,2,2,1,8,52203,0,0,10539
8,2,2,2,2,1,66181,0,0,129133
8,2,2,2,2,2,51621,0,0,17030
8,2,2,2,2,4,50578,0,0,12674
8,2,2,2,2,8,50119,0,0,10864
8,4,3,1,1,1,68023,0,0,95798
8,4,3,1,1,2,54885,0,0,23278
8,4,3,1,1,4,50267,0,0,3296
8,4,3,1,1,8,49472,0,0,188
8,4,3,1,2,1,65865,0,0,197200
8,4,3,1,2,2,55346,0,0,38707
