Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,511194,2370,0,0
1,2,1,1,1,1,399704,0,0,0
1,2,1,1,2,1,405979,0,0,4162
1,2,1,1,2,2,401879,0,0,2112
1,2,1,2,1,1,397656,0,0,0
1,2,1,2,2,1,403931,0,0,4162
1,2,1,2,2,2,399831,0,0,2112
1,2,2,1,1,1,327903,0,0,0
1,2,2,1,2,1,340322,0,0,12354
1,2,2,1,2,2,337246,0,0,10816
1,2,2,2,1,1,313567,0,0,0
1,2,2,2,2,1,325986,0,0,18498
1,2,2,2,2,2,321374,0,0,16192
1,4,3,1,1,1,196505,0,0,0
1,4,3,1,2,1,262114,0,0,32834
1,4,3,1,2,2,253918,0,0,28736
1,4,3,2,1,1,196505,0,0,0
1,4,3,2,2,1,237538,0,0,20546
1,4,3,2,2,2,232414,0,0,17984
1,4,4,1,1,1,192345,0,0,0
1,4,4,1,2,1,253858,0,0,32834
1,4,4,1,2,2,245662,0,0,28736
1,4,4,2,1,1,188249,0,0,0
1,4,4,2,2,1,243618,0,0,20546
1,4,4,2,2,2,235422,0,0,16448
2,1,1,1,1,1,255611,2371,0,4
2,1,1,1,1,2,255608,2372,0,1
2,2,1,1,1,1,206014,0,0,6151
2,2,1,1,1,2,199864,0,0,2
2,2,1,1,2,1,209150,0,0,10315
2,2,1,1,2,2,200953,0,0,2116
2,2,1,1,2,4,200456,0,0,1618
2,2,1,2,1,1,204990,0,0,6151
2,2,1,2,1,2,198840,0,0,2
2,2,1,2,2,1,208126,0,0,10315
2,2,1,2,2,2,199929,0,0,2116
2,2,1,2,2,4,199432,0,0,1618
2,2,2,1,1,1,170112,0,0,6148
2,2,2,1,1,2,163964,0,0,2
2,2,2,1,2,1,176320,0,0,18505
2,2,2,1,2,2,168637,0,0,10819
2,2,2,1,2,4,167201,0,0,9384
2,2,2,2,1,1,156804,0,0,8
2,2,2,2,1,2,156796,0,0,2
2,2,2,2,2,1,163032,0,0,18535
2,2,2,2,2,2,160701,0,0,16195
2,2,2,2,2,4,158548,0,0,14043
2,4,3,1,1,1,98267,0,0,4
2,4,3,1,1,2,98265,0,0,2
2,4,3,1,2,1,136191,0,0,53326
2,4,3,1,2,2,126971,0,0,28743
2,4,3,1,2,4,123146,0,0,24915
2,4,3,2,1,1,98549,0,0,248
2,4,3,2,1,2,98265,0,0,2
2,4,3,2,2,1,118788,0,0,20562
2,4,3,2,2,2,116230,0,0,17997
2,4,3,2,2,4,113829,0,0,15597
2,4,4,1,1,1,96187,0,0,4
2,4,4,1,1,2,96185,0,0,2
2,4,4,1,2,1,132063,0,0,53326
2,4,4,1,2,2,122843,0,0,28743
2,4,4,1,2,4,119018,0,0,24915
2,4,4,2,1,1,108475,0,0,14340
2,4,4,2,1,2,94137,0,0,2
2,4,4,2,2,1,128994,0,0,32847
2,4,4,2,2,2,117981,0,0,16711
2,4,4,2,2,4,115316,0,0,14044
4,1,1,1,1,1,133990,2372,0,12338
4,1,1,1,1,2,127861,2376,0,63
4,1,1,1,1,4,127832,2376,0,14
4,2,1,1,1,1,116654,0,0,31748
4,2,1,1,1,2,106207,0,0,8841
4,2,1,1,1,4,99967,0,0,33
4,2,1,1,2,1,115529,0,0,28497
4,2,1,1,2,2,106220,0,0,10008
4,2,1,1,2,4,100255,0,0,1641
4,2,1,1,2,8,100142,0,0,1416
4,2,1,2,1,1,114979,0,0,26763
4,2,1,2,1,2,106220,0,0,9840
4,2,1,2,1,4,99455,0,0,33
4,2,1,2,2,1,115070,0,0,28699
4,2,1,2,2,2,105399,0,0,9244
4,2,1,2,2,4,99743,0,0,1641
4,2,1,2,2,8,99630,0,0,1416
4,2,2,1,1,1,100935,0,0,38549
4,2,2,1,1,2,91603,0,0,15742
4,2,2,1,1,4,82004,0,0,17
4,2,2,1,2,1,99520,0,0,48217
4,2,2,1,2,2,90256,0,0,22775
4,2,2,1,2,4,83635,0,0,9427
4,2,2,1,2,8,82966,0,0,8090
4,2,2,2,1,1,98035,0,0,37392
4,2,2,2,1,2,87764,0,0,14819
4,2,2,2,1,4,78420,0,0,17
4,2,2,2,2,1,94900,0,0,62374
4,2,2,2,2,2,84909,0,0,27113
4,2,2,2,2,4,82393,0,0,22007
4,2,2,2,2,8,80951,0,0,18873
4,4,3,1,1,1,75173,0,0,58119
4,4,3,1,1,2,62394,0,0,24832
4,4,3,1,1,4,49493,0,0,633
4,4,3,1,2,1,72799,0,0,90556
4,4,3,1,2,2,64343,0,0,31624
4,4,3,1,2,4,61585,0,0,24929
4,4,3,1,2,8,59810,0,0,21379
4,4,3,2,1,1,75266,0,0,57847
4,4,3,2,1,2,62607,0,0,25483
4,4,3,2,1,4,49173,0,0,42
4,4,3,2,2,1,76777,0,0,87225
4,4,3,2,2,2,61358,0,0,28167
4,4,3,2,2,4,58868,0,0,22598
4,4,3,2,2,8,57481,0,0,19379
4,4,4,1,1,1,75108,0,0,61284
4,4,4,1,1,2,62072,0,0,27190
4,4,4,1,1,4,54318,0,0,12819
