Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,807678,61725,220302,0
1,2,1,1,1,1,773696,38705,233347,0
1,2,1,1,2,1,782781,45650,231299,2122
1,2,1,1,2,2,782342,45685,231299,1885
1,2,1,2,1,1,773013,40070,233347,0
1,2,1,2,2,1,782098,47015,231299,2122
1,2,1,2,2,2,781659,47050,231299,1885
1,2,2,1,1,1,729553,115286,259987,0
1,2,2,1,2,1,732374,115967,257947,2122
1,2,2,1,2,2,731928,115994,257947,1885
1,2,2,2,1,1,727240,116424,259987,0
1,2,2,2,2,1,730744,117787,257947,2122
1,2,2,2,2,2,730297,117814,257947,1885
1,4,2,1,1,1,671374,66391,259995,0
1,4,2,1,2,1,665970,60913,257947,2122
1,4,2,1,2,2,665518,60934,257947,1885
1,4,2,2,1,1,668872,67339,259995,0
1,4,2,2,2,1,662974,61367,257947,2122
1,4,2,2,2,2,662522,61389,257947,1885
1,4,3,1,1,1,657697,65010,257939,0
1,4,3,1,2,1,659148,66379,255899,2122
1,4,3,1,2,2,658688,66393,255899,1885
1,4,3,2,1,1,654701,65465,257939,0
1,4,3,2,2,1,656835,67517,255899,2122
1,4,3,2,2,2,656375,67530,255899,1885
1,4,4,1,1,1,661111,68424,257939,0
1,4,4,1,2,1,663244,70475,255899,2122
1,4,4,1,2,2,662784,70489,255899,1885
1,4,4,2,1,1,658115,68878,257939,0
1,4,4,2,2,1,660931,71613,255899,2122
1,4,4,2,2,2,660471,71626,255899,1885
2,1,1,1,1,1,404516,61697,220312,154
2,1,1,1,1,2,404453,61711,220312,76
2,2,1,1,1,1,387531,38698,233357,163
2,2,1,1,1,2,387459,38701,233357,90
2,2,1,1,2,1,392065,45635,231309,2353
2,2,1,1,2,2,391775,45681,231309,1989
2,2,1,1,2,4,391570,45684,231309,1767
2,2,1,2,1,1,387194,40062,233357,166
2,2,1,2,1,2,387121,40068,233357,91
2,2,1,2,2,1,391726,47000,231309,2352
2,2,1,2,2,2,391436,47047,231309,1988
2,2,1,2,2,4,391231,47050,231309,1767
2,2,2,1,1,1,365465,115271,259997,174
2,2,2,1,1,2,365377,115280,259997,86
2,2,2,1,2,1,366851,115950,257957,2348
2,2,2,1,2,2,366568,115988,257957,2002
2,2,2,1,2,4,366356,115993,257957,1769
2,2,2,2,1,1,364299,116406,259997,171
2,2,2,2,1,2,364215,116418,259997,89
2,2,2,2,2,1,366043,117773,257957,2355
2,2,2,2,2,2,365743,117808,257957,1996
