Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,365165,386,104548,0
1,2,1,1,1,1,366180,34040,121884,0
1,2,1,1,2,1,366182,34040,121884,2
1,2,1,1,2,2,366178,34040,121884,0
1,2,1,2,1,1,366180,35064,121884,0
1,2,1,2,2,1,366182,35064,121884,2
1,2,1,2,2,2,366178,35064,121884,0
1,2,2,1,1,1,348772,34104,121884,0
1,2,2,1,2,1,414310,34104,154652,16386
1,2,2,1,2,2,397922,34104,154652,8192
1,2,2,2,1,1,348772,35128,121884,0
1,2,2,2,2,1,414310,35128,154652,16386
1,2,2,2,2,2,397922,35128,154652,8192
1,4,2,1,1,1,314859,249,138396,0
1,4,2,1,2,1,314799,249,138396,4
1,4,2,1,2,2,314792,250,138396,0
1,4,2,2,1,1,313771,249,138396,0
1,4,2,2,2,1,313711,249,138396,4
1,4,2,2,2,2,313704,250,138396,0
1,4,3,1,1,1,314795,249,138396,0
1,4,3,1,2,1,314735,249,138396,4
1,4,3,1,2,2,314728,250,138396,0
1,4,3,2,1,1,313707,249,138396,0
1,4,3,2,2,1,313647,249,138396,4
1,4,3,2,2,2,313640,250,138396,0
1,4,4,1,1,1,314795,249,138396,0
1,4,4,1,2,1,314735,249,138396,4
1,4,4,1,2,2,314728,250,138396,0
1,4,4,2,1,1,313707,249,138396,0
1,4,4,2,2,1,313647,249,138396,4
1,4,4,2,2,2,313640,250,138396,0
2,1,1,1,1,1,184228,377,104552,936
2,1,1,1,1,2,183476,383,104552,501
2,2,1,1,1,1,184959,34031,121888,940
2,2,1,1,1,2,184124,34038,121888,514
2,2,1,1,2,1,184960,34032,121888,945
2,2,1,1,2,2,184124,34038,121888,516
2,2,1,1,2,4,183773,34040,121888,337
2,2,1,2,1,1,184959,35055,121888,940
2,2,1,2,1,2,184124,35062,121888,514
2,2,1,2,2,1,184960,35056,121888,945
2,2,1,2,2,2,184124,35062,121888,516
2,2,1,2,2,4,183773,35064,121888,337
2,2,2,1,1,1,177496,34094,121888,2419
2,2,2,1,1,2,175666,34099,121888,853
2,2,2,1,2,1,208117,34101,154656,17541
2,2,2,1,2,2,199724,34101,154656,8842
2,2,2,1,2,4,195441,34103,154656,4480
2,2,2,2,1,1,177496,35118,121888,2419
2,2,2,2,1,2,175666,35123,121888,853
2,2,2,2,2,1,208117,35125,154656,17541
2,2,2,2,2,2,199724,35125,154656,8842
2,2,2,2,2,4,195441,35127,154656,4480
2,4,2,1,1,1,159585,238,138400,1092
2,4,2,1,1,2,158893,245,138400,735
2,4,2,1,2,1,159551,240,138400,1093
2,4,2,1,2,2,158893,247,138400,752
2,4,2,1,2,4,158349,249,138400,476
2,4,2,2,1,1,159024,240,138400,1078
2,4,2,2,1,2,158388,246,138400,751
2,4,2,2,2,1,159037,243,138400,1111
2,4,2,2,2,2,158336,248,138400,746
2,4,2,2,2,4,157825,250,138400,486
2,4,3,1,1,1,159537,239,138400,1078
2,4,3,1,1,2,158893,244,138400,748
2,4,3,1,2,1,159524,240,138400,1100
2,4,3,1,2,2,158830,247,138400,739
2,4,3,1,2,4,158295,249,138400,466
2,4,3,2,1,1,158995,241,138400,1077
2,4,3,2,1,2,158335,246,138400,741
2,4,3,2,2,1,158941,242,138400,1077
2,4,3,2,2,2,158286,248,138400,737
2,4,3,2,2,4,157781,250,138400,479
2,4,4,1,1,1,159537,239,138400,1078
2,4,4,1,1,2,158893,244,138400,748
2,4,4,1,2,1,159524,240,138400,1100
2,4,4,1,2,2,158830,247,138400,739
2,4,4,1,2,4,158295,249,138400,466
2,4,4,2,1,1,158995,241,138400,1077
2,4,4,2,1,2,158335,246,138400,741
2,4,4,2,2,1,158941,242,138400,1077
2,4,4,2,2,2,158286,248,138400,737
2,4,4,2,2,4,157781,250,138400,479
4,1,1,1,1,1,98773,367,104560,11266
4,1,1,1,1,2,94666,380,104560,4336
4,1,1,1,1,4,92935,386,104560,1792
4,2,1,1,1,1,96814,34014,121896,7278
4,2,1,1,1,2,94301,34031,121896,3301
4,2,1,1,1,4,93048,34038,121896,1620
4,2,1,1,2,1,96816,34014,121896,7305
4,2,1,1,2,2,94300,34031,121896,3305
4,2,1,1,2,4,93045,34038,121896,1619
4,2,1,1,2,8,92498,34041,121896,977
4,2,1,2,1,1,96814,35038,121896,7278
4,2,1,2,1,2,94301,35055,121896,3301
4,2,1,2,1,4,93048,35062,121896,1620
4,2,1,2,2,1,96816,35038,121896,7305
4,2,1,2,2,2,94300,35055,121896,3305
4,2,1,2,2,4,93045,35062,121896,1619
4,2,1,2,2,8,92498,35065,121896,977
