Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,364846,386,0,0
1,2,1,1,1,1,299685,0,0,0
1,2,1,1,2,1,299751,0,0,66
1,2,1,1,2,2,299747,0,0,64
1,2,1,2,1,1,298661,0,0,0
1,2,1,2,2,1,298727,0,0,66
1,2,1,2,2,2,298723,0,0,64
1,2,2,1,1,1,282213,0,0,0
1,2,2,1,2,1,347815,0,0,16450
1,2,2,1,2,2,331427,0,0,8256
1,2,2,2,1,1,281189,0,0,0
1,2,2,2,2,1,346791,0,0,16450
1,2,2,2,2,2,330403,0,0,8256
1,4,3,1,1,1,281894,0,0,0
1,4,3,1,2,1,282090,0,0,132
1,4,3,1,2,2,282082,0,0,128
1,4,3,2,1,1,280806,0,0,0
1,4,3,2,2,1,280874,0,0,68
1,4,3,2,2,2,280866,0,0,64
1,4,4,1,1,1,281894,0,0,0
1,4,4,1,2,1,282026,0,0,132
1,4,4,1,2,2,282018,0,0,128
1,4,4,2,1,1,280806,0,0,0
1,4,4,2,2,1,280874,0,0,68
1,4,4,2,2,2,280866,0,0,64
2,1,1,1,1,1,184081,375,0,943
2,1,1,1,1,2,183331,384,0,510
2,2,1,1,1,1,151822,0,0,994
2,2,1,1,1,2,151233,0,0,694
2,2,1,1,2,1,151866,0,0,1095
2,2,1,1,2,2,151211,0,0,736
2,2,1,1,2,4,150756,0,0,505
2,2,1,2,1,1,151087,0,0,879
2,2,1,2,1,2,150517,0,0,590
2,2,1,2,2,1,150942,0,0,876
2,2,1,2,2,2,150452,0,0,613
2,2,1,2,2,4,150109,0,0,437
2,2,2,1,1,1,144220,0,0,2294
2,2,2,1,1,2,142705,0,0,1024
2,2,2,1,2,1,175190,0,0,17990
2,2,2,1,2,2,166533,0,0,9012
2,2,2,1,2,4,162143,0,0,4530
2,2,2,2,1,1,143260,0,0,1839
2,2,2,2,1,2,142008,0,0,856
2,2,2,2,2,1,174790,0,0,18175
2,2,2,2,2,2,166076,0,0,9054
2,2,2,2,2,4,161629,0,0,4526
2,4,3,1,1,1,142838,0,0,949
2,4,3,1,1,2,142201,0,0,625
2,4,3,1,2,1,142974,0,0,1128
2,4,3,1,2,2,142526,0,0,885
2,4,3,1,2,4,142100,0,0,661
2,4,3,2,1,1,142560,0,0,1082
2,4,3,2,1,2,142176,0,0,884
2,4,3,2,2,1,141710,0,0,719
2,4,3,2,2,2,141344,0,0,521
2,4,3,2,2,4,141174,0,0,422
2,4,4,1,1,1,142838,0,0,949
2,4,4,1,1,2,142201,0,0,625
2,4,4,1,2,1,142903,0,0,1110
2,4,4,1,2,2,142320,0,0,802
2,4,4,1,2,4,141860,0,0,560
2,4,4,2,1,1,142560,0,0,1082
2,4,4,2,1,2,142176,0,0,884
