Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,290797,386,74980,0
1,2,1,1,1,1,311853,25410,120988,0
1,2,1,1,2,1,311855,25410,120988,2
1,2,1,1,2,2,311851,25410,120988,0
1,2,1,2,1,1,311853,26434,120988,0
1,2,1,2,2,1,311855,26434,120988,2
1,2,1,2,2,2,311851,26434,120988,0
1,2,2,1,1,1,295975,27004,106652,0
1,2,2,1,2,1,361513,27004,139420,16386
1,2,2,1,2,2,345125,27004,139420,8192
1,2,2,2,1,1,295463,27516,106652,0
1,2,2,2,2,1,361001,27516,139420,16386
1,2,2,2,2,2,344613,27516,139420,8192
1,4,2,1,1,1,286538,17624,123164,0
1,4,2,1,2,1,286478,17624,123164,4
1,4,2,1,2,2,286471,17625,123164,0
1,4,2,2,1,1,285706,17880,123164,0
1,4,2,2,2,1,285646,17880,123164,4
1,4,2,2,2,2,285639,17881,123164,0
1,4,3,1,1,1,286475,17624,123164,0
1,4,3,1,2,1,286415,17624,123164,4
1,4,3,1,2,2,286408,17625,123164,0
1,4,3,2,1,1,285643,17880,123164,0
1,4,3,2,2,1,285583,17880,123164,4
1,4,3,2,2,2,285576,17881,123164,0
1,4,4,1,1,1,286475,17624,123164,0
1,4,4,1,2,1,286415,17624,123164,4
1,4,4,1,2,2,286408,17625,123164,0
1,4,4,2,1,1,285643,17880,123164,0
1,4,4,2,2,1,285583,17880,123164,4
1,4,4,2,2,2,285576,17881,123164,0
1,1,1,1,1,1,307053,386,91236,0
1,2,1,1,1,1,279080,25535,88154,0
1,2,1,1,2,1,279146,25535,88154,66
1,2,1,1,2,2,279142,25535,88154,64
1,2,1,2,1,1,279072,26551,88154,0
1,2,1,2,2,1,279138,26551,88154,66
1,2,1,2,2,2,279134,26551,88154,64
1,2,2,1,1,1,279205,26684,90266,0
1,2,2,1,2,1,328431,26691,106650,16450
1,2,2,1,2,2,312043,26691,106650,8256
1,2,2,2,1,1,278693,27196,90266,0
1,2,2,2,2,1,327919,27203,106650,16450
1,2,2,2,2,2,311531,27203,106650,8256
1,4,3,1,1,1,269838,17630,106779,0
1,4,3,1,2,1,269780,17631,106715,68
1,4,3,1,2,2,269772,17631,106715,64
1,4,3,2,1,1,269072,18015,106715,0
1,4,3,2,2,1,268821,17824,106651,68
1,4,3,2,2,2,268813,17824,106651,64
1,4,4,1,1,1,269838,17630,106779,0
1,4,4,1,2,1,269780,17631,106715,68
1,4,4,1,2,2,269772,17631,106715,64
1,4,4,2,1,1,269072,18015,106715,0
1,4,4,2,2,1,268821,17824,106651,68
1,4,4,2,2,2,268813,17824,106651,64
2,1,1,1,1,1,155646,380,91240,1212
2,1,1,1,1,2,154694,385,91240,661
2,2,1,1,1,1,142750,25005,88157,2752
2,2,1,1,1,2,141457,25158,88157,1587
2,2,1,1,2,1,142781,25001,88157,2831
2,2,1,1,2,2,141532,25145,88157,1698
2,2,1,1,2,4,140722,25235,88157,976
2,2,1,2,1,1,142746,26021,88157,2753
2,2,1,2,1,2,141453,26174,88157,1586
2,2,1,2,2,1,142776,26017,88157,2831
2,2,1,2,2,2,141528,26161,88157,1699
2,2,1,2,2,4,140719,26251,88157,976
2,2,2,1,1,1,143317,26008,90269,3082
2,2,2,1,1,2,141547,26330,90269,1472
2,2,2,1,2,1,167627,26692,106653,21034
2,2,2,1,2,2,158064,26692,106653,10313
2,2,2,1,2,4,153151,26692,106653,5176
2,2,2,2,1,1,142941,26532,90269,2989
2,2,2,2,1,2,141253,26836,90269,1433
2,2,2,2,2,1,167383,27204,106653,21003
2,2,2,2,2,2,157830,27204,106653,10361
2,2,2,2,2,4,152945,27204,106653,5203
2,4,3,1,1,1,140659,17419,106782,3789
