Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,290478,386,0,0
1,2,1,1,1,1,269221,0,0,0
1,2,1,1,2,1,269287,0,0,66
1,2,1,1,2,2,269283,0,0,64
1,2,1,2,1,1,268197,0,0,0
1,2,1,2,2,1,268263,0,0,66
1,2,1,2,2,2,268259,0,0,64
1,2,2,1,1,1,251749,0,0,0
1,2,2,1,2,1,317351,0,0,16450
1,2,2,1,2,2,300963,0,0,8256
1,2,2,2,1,1,250725,0,0,0
1,2,2,2,2,1,316327,0,0,16450
1,2,2,2,2,2,299939,0,0,8256
1,4,3,1,1,1,251430,0,0,0
1,4,3,1,2,1,251626,0,0,132
1,4,3,1,2,2,251618,0,0,128
1,4,3,2,1,1,250342,0,0,0
1,4,3,2,2,1,250410,0,0,68
1,4,3,2,2,2,250402,0,0,64
1,4,4,1,1,1,251430,0,0,0
1,4,4,1,2,1,251562,0,0,132
1,4,4,1,2,2,251554,0,0,128
1,4,4,2,1,1,250342,0,0,0
1,4,4,2,2,1,250410,0,0,68
1,4,4,2,2,2,250402,0,0,64
2,1,1,1,1,1,147253,375,0,1158
2,1,1,1,1,2,146296,382,0,604
2,2,1,1,1,1,137046,0,0,1221
2,2,1,1,1,2,136335,0,0,861
2,2,1,1,2,1,137096,0,0,1310
2,2,1,1,2,2,136320,0,0,907
2,2,1,1,2,4,135744,0,0,614
2,2,1,2,1,1,136061,0,0,982
2,2,1,2,1,2,135457,0,0,676
2,2,1,2,2,1,136004,0,0,1020
2,2,1,2,2,2,135451,0,0,727
2,2,1,2,2,4,135057,0,0,526
2,2,2,1,1,1,129880,0,0,2910
2,2,2,1,1,2,127944,0,0,1316
2,2,2,1,2,1,159982,0,0,18237
2,2,2,1,2,2,151733,0,0,9478
2,2,2,1,2,4,147181,0,0,4780
2,2,2,2,1,1,129313,0,0,2837
2,2,2,2,1,2,127287,0,0,1185
2,2,2,2,2,1,159506,0,0,18297
2,2,2,2,2,2,151159,0,0,9458
2,2,2,2,2,4,146534,0,0,4694
2,4,3,1,1,1,128199,0,0,1246
2,4,3,1,1,2,127342,0,0,812
2,4,3,1,2,1,128591,0,0,1551
2,4,3,1,2,2,127850,0,0,1163
2,4,3,1,2,4,127151,0,0,802
2,4,3,2,1,1,128428,0,0,1637
2,4,3,2,1,2,127821,0,0,1326
2,4,3,2,2,1,126766,0,0,865
2,4,3,2,2,2,126276,0,0,603
2,4,3,2,2,4,126239,0,0,568
2,4,4,1,1,1,128199,0,0,1246
2,4,4,1,1,2,127342,0,0,812
2,4,4,1,2,1,128459,0,0,1498
2,4,4,1,2,2,127713,0,0,1107
2,4,4,1,2,4,126974,0,0,730
2,4,4,2,1,1,128428,0,0,1637
2,4,4,2,1,2,127821,0,0,1326
2,4,4,2,2,1,126766,0,0,865
2,4,4,2,2,2,126276,0,0,603
2,4,4,2,2,4,126239,0,0,568
4,1,1,1,1,1,82302,357,0,15170
4,1,1,1,1,2,77030,375,0,5911
4,1,1,1,1,4,74600,384,0,2283
4,2,1,1,1,1,76182,0,0,13779
4,2,1,1,1,2,72400,0,0,6166
4,2,1,1,1,4,70214,0,0,3171
4,2,1,1,2,1,76199,0,0,13805
4,2,1,1,2,2,72420,0,0,6325
4,2,1,1,2,4,70249,0,0,3258
4,2,1,1,2,8,68971,0,0,1787
4,2,1,2,1,1,74463,0,0,11786
4,2,1,2,1,2,71283,0,0,5323
4,2,1,2,1,4,69493,0,0,2769
4,2,1,2,2,1,74456,0,0,11788
4,2,1,2,2,2,71264,0,0,5384
4,2,1,2,2,4,69522,0,0,2860
4,2,1,2,2,8,68526,0,0,1671
4,2,2,1,1,1,75839,0,0,22123
4,2,2,1,1,2,69250,0,0,8887
4,2,2,1,1,4,66261,0,0,3963
4,2,2,1,2,1,87081,0,0,50837
4,2,2,1,2,2,79489,0,0,17900
4,2,2,1,2,4,75548,0,0,7888
4,2,2,1,2,8,73494,0,0,3882
4,2,2,2,1,1,75606,0,0,22333
4,2,2,2,1,2,69272,0,0,9106
4,2,2,2,1,4,66133,0,0,4077
4,2,2,2,2,1,86689,0,0,50141
4,2,2,2,2,2,79277,0,0,17971
4,2,2,2,2,4,75225,0,0,7823
4,2,2,2,2,8,73194,0,0,3839
4,4,3,1,1,1,72343,0,0,15041
4,4,3,1,1,2,68379,0,0,7027
4,4,3,1,1,4,65964,0,0,3520
4,4,3,1,2,1,72541,0,0,15647
4,4,3,1,2,2,68449,0,0,7321
4,4,3,1,2,4,66128,0,0,3793
4,4,3,1,2,8,64757,0,0,2094
4,4,3,2,1,1,71157,0,0,13699
4,4,3,2,1,2,67578,0,0,6513
4,4,3,2,1,4,65476,0,0,3340
4,4,3,2,2,1,70838,0,0,13419
4,4,3,2,2,2,67331,0,0,6269
4,4,3,2,2,4,65300,0,0,3199
4,4,3,2,2,8,64171,0,0,1764
4,4,4,1,1,1,72343,0,0,15041
4,4,4,1,1,2,68379,0,0,7027
4,4,4,1,1,4,65964,0,0,3520
4,4,4,1,2,1,72499,0,0,15594
4,4,4,1,2,2,68419,0,0,7296
4,4,4,1,2,4,66024,0,0,3734
4,4,4,1,2,8,64640,0,0,2012
4,4,4,2,1,1,71157,0,0,13699
4,4,4,2,1,2,67578,0,0,6513
4,4,4,2,1,4,65476,0,0,3340
4,4,4,2,2,1,70838,0,0,13419
4,4,4,2,2,2,67331,0,0,6269
4,4,4,2,2,4,65300,0,0,3199
4,4,4,2,2,8,64171,0,0,1764
8,1,1,1,1,1,53637,339,0,85240
8,1,1,1,1,2,44185,370,0,29713
