Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,26387,2441,5690,0
1,2,1,1,1,1,24980,1859,6423,0
1,2,1,1,2,1,25263,1920,6423,126
1,2,1,1,2,2,25142,1921,6423,65
1,2,1,2,1,1,24980,1859,6423,0
1,2,1,2,2,1,25262,1920,6423,126
1,2,1,2,2,2,25141,1921,6423,65
1,2,2,1,1,1,25194,3621,8405,0
1,2,2,1,2,1,25365,3572,8405,126
1,2,2,1,2,2,25247,3576,8405,65
1,2,2,2,1,1,25194,3622,8405,0
1,2,2,2,2,1,25365,3573,8405,126
1,2,2,2,2,2,25247,3577,8405,65
1,4,2,1,1,1,22637,1669,8216,0
1,4,2,1,2,1,23024,1928,8217,127
1,4,2,1,2,2,22901,1931,8217,64
1,4,2,2,1,1,23268,2399,8215,0
1,4,2,2,2,1,22695,1697,8216,127
1,4,2,2,2,2,22571,1699,8216,64
1,4,3,1,1,1,22531,2594,8032,0
1,4,3,1,2,1,22250,2185,8033,127
1,4,3,1,2,2,22127,2188,8033,64
1,4,3,2,1,1,21974,2135,8031,0
1,4,3,2,2,1,22652,2684,8032,127
1,4,3,2,2,2,22528,2686,8032,64
1,4,4,1,1,1,22371,2341,8126,0
1,4,4,1,2,1,22377,2218,8127,127
1,4,4,1,2,2,22254,2221,8127,64
1,4,4,2,1,1,22181,2249,8125,0
1,4,4,2,2,1,22493,2432,8126,127
1,4,4,2,2,2,22369,2434,8126,64
2,1,1,1,1,1,18996,2468,5918,53
2,1,1,1,1,2,18981,2469,5918,29
2,2,1,1,1,1,17906,1873,6663,60
2,2,1,1,1,2,17892,1878,6663,26
2,2,1,1,2,1,18136,1966,6663,238
2,2,1,1,2,2,18022,1975,6663,109
2,2,1,1,2,4,17966,1976,6663,48
2,2,1,2,1,1,17903,1873,6663,59
2,2,1,2,1,2,17890,1878,6663,25
2,2,1,2,2,1,18134,1966,6663,237
2,2,1,2,2,2,18020,1975,6663,108
2,2,1,2,2,4,17964,1976,6663,48
2,2,2,1,1,1,18341,4056,8647,55
2,2,2,1,1,2,18326,4060,8647,30
2,2,2,1,2,1,18586,4171,8647,231
2,2,2,1,2,2,18479,4190,8647,109
2,2,2,1,2,4,18421,4191,8647,50
2,2,2,2,1,1,18339,4056,8647,55
2,2,2,2,1,2,18325,4060,8647,31
2,2,2,2,2,1,18585,4171,8647,230
2,2,2,2,2,2,18477,4190,8647,108
2,2,2,2,2,4,18419,4191,8647,49
2,4,2,1,1,1,16192,1578,8462,58
2,4,2,1,1,2,16179,1579,8462,31
2,4,2,1,2,1,16603,2067,8466,239
2,4,2,1,2,2,16482,2079,8466,109
2,4,2,1,2,4,16426,2081,8466,48
2,4,2,2,1,1,16740,2485,8458,62
2,4,2,2,1,2,16725,2485,8458,26
2,4,2,2,2,1,16238,1602,8462,241
2,4,2,2,2,2,16116,1609,8462,114
2,4,2,2,2,4,16059,1610,8462,47
2,4,3,1,1,1,15878,2232,8274,60
2,4,3,1,1,2,15864,2234,8274,33
2,4,3,1,2,1,16330,2690,8278,245
2,4,3,1,2,2,16208,2697,8278,108
2,4,3,1,2,4,16150,2699,8278,49
2,4,3,2,1,1,15671,2026,8270,63
2,4,3,2,1,2,15657,2028,8270,33
2,4,3,2,2,1,15918,2249,8274,242
2,4,3,2,2,2,15799,2263,8274,111
2,4,3,2,2,4,15740,2264,8274,47
2,4,4,1,1,1,16024,2337,8368,61
2,4,4,1,1,2,16011,2339,8368,34
2,4,4,1,2,1,16173,2380,8372,246
2,4,4,1,2,2,16049,2389,8372,109
2,4,4,1,2,4,15991,2390,8372,51
2,4,4,2,1,1,15819,2143,8364,62
2,4,4,2,1,2,15805,2145,8364,31
2,4,4,2,2,1,16063,2354,8368,239
2,4,4,2,2,2,15946,2367,8368,113
2,4,4,2,2,4,15887,2369,8368,49
4,1,1,1,1,1,11295,2571,6741,320
4,1,1,1,1,2,11230,2576,6741,131
4,1,1,1,1,4,11212,2580,6741,60
4,2,1,1,1,1,10798,2596,7380,350
4,2,1,1,1,2,10721,2604,7380,149
4,2,1,1,1,4,10693,2609,7380,69
4,2,1,1,2,1,10834,2615,7380,610
4,2,1,1,2,2,10707,2665,7380,201
4,2,1,1,2,4,10683,2667,7380,97
4,2,1,1,2,8,10676,2670,7380,50
4,2,1,2,1,1,10515,2062,7364,341
4,2,1,2,1,2,10438,2075,7364,138
4,2,1,2,1,4,10423,2080,7364,67
4,2,1,2,2,1,10551,2049,7364,623
4,2,1,2,2,2,10423,2072,7364,204
4,2,1,2,2,4,10392,2077,7364,90
4,2,1,2,2,8,10387,2079,7364,52
4,2,2,1,1,1,10822,4276,9273,348
4,2,2,1,1,2,10742,4288,9273,139
4,2,2,1,1,4,10719,4295,9273,66
4,2,2,1,2,1,10867,4294,9273,623
4,2,2,1,2,2,10734,4348,9273,198
4,2,2,1,2,4,10708,4353,9273,101
4,2,2,1,2,8,10702,4356,9273,49
4,2,2,2,1,1,10783,4302,9273,343
4,2,2,2,1,2,10708,4314,9273,134
4,2,2,2,1,4,10688,4322,9273,64
4,2,2,2,2,1,10828,4321,9273,610
4,2,2,2,2,2,10702,4374,9273,194
4,2,2,2,2,4,10678,4381,9273,95
4,2,2,2,2,8,10672,4384,9273,46
4,4,2,1,1,1,9782,2274,9099,368
4,4,2,1,1,2,9705,2280,9099,148
4,4,2,1,1,4,9682,2282,9099,68
4,4,2,1,2,1,9856,2308,9099,724
4,4,2,1,2,2,9701,2338,9099,260
4,4,2,1,2,4,9656,2346,9099,120
4,4,2,1,2,8,9640,2348,9099,72
4,4,2,2,1,1,9705,2300,9099,370
4,4,2,2,1,2,9617,2306,9099,152
4,4,2,2,1,4,9599,2308,9099,73
4,4,2,2,2,1,9770,2334,9099,712
4,4,2,2,2,2,9617,2366,9099,268
4,4,2,2,2,4,9572,2372,9099,121
4,4,2,2,2,8,9557,2374,9099,70
4,4,3,1,1,1,9342,2199,8916,371
4,4,3,1,1,2,9268,2204,8916,160
4,4,3,1,1,4,9236,2207,8916,75
4,4,3,1,2,1,9374,2081,8900,770
4,4,3,1,2,2,9194,2097,8900,276
4,4,3,1,2,4,9142,2102,8900,131
4,4,3,1,2,8,9124,2103,8900,68
4,4,3,2,1,1,9278,2239,8916,382
4,4,3,2,1,2,9190,2246,8916,160
4,4,3,2,1,4,9162,2250,8916,69
4,4,3,2,2,1,9293,2136,8900,761
4,4,3,2,2,2,9118,2153,8900,276
4,4,3,2,2,4,9068,2157,8900,135
4,4,3,2,2,8,9049,2159,8900,67
4,4,4,1,1,1,9418,2284,9009,375
4,4,4,1,1,2,9337,2289,9009,158
4,4,4,1,1,4,9311,2292,9009,73
4,4,4,1,2,1,9438,2168,8993,753
4,4,4,1,2,2,9263,2185,8993,273
4,4,4,1,2,4,9220,2189,8993,135
4,4,4,1,2,8,9201,2190,8993,70
4,4,4,2,1,1,9343,2327,9009,385
4,4,4,2,1,2,9261,2332,9009,154
4,4,4,2,1,4,9234,2334,9009,72
4,4,4,2,2,1,9363,2223,8993,754
4,4,4,2,2,2,9193,2239,8993,276
4,4,4,2,2,4,9145,2244,8993,136
4,4,4,2,2,8,9125,2246,8993,69
8,1,1,1,1,1,7273,2929,8325,3232
8,1,1,1,1,2,6920,2984,8325,1002
8,1,1,1,1,4,6803,3008,8325,363
8,1,1,1,1,8,6773,3014,8325,193
8,2,1,1,1,1,6980,2940,9204,3575
8,2,1,1,1,2,6593,2976,9204,1034
8,2,1,1,1,4,6475,2995,9204,389
8,2,1,1,1,8,6438,3001,9204,194
8,2,1,1,2,1,6929,2297,9140,5922
8,2,1,1,2,2,6411,2363,9140,1391
8,2,1,1,2,4,6275,2384,9140,521
8,2,1,1,2,8,6237,2392,9140,266
8,2,1,2,1,1,6844,2467,9140,3768
8,2,1,2,1,2,6452,2558,9140,1064
8,2,1,2,1,4,6325,2600,9140,398
8,2,1,2,1,8,6291,2613,9140,199
8,2,1,2,2,1,7039,3167,9076,5645
8,2,1,2,2,2,6545,3308,9076,1354
8,2,1,2,2,4,6422,3351,9076,514
8,2,1,2,2,8,6379,3367,9076,253
8,2,2,1,1,1,6994,5050,11289,3615
8,2,2,1,1,2,6608,5116,11289,1062
8,2,2,1,1,4,6491,5152,11289,397
8,2,2,1,1,8,6454,5167,11289,195
8,2,2,1,2,1,7085,5166,11289,5680
8,2,2,1,2,2,6590,5339,11289,1374
8,2,2,1,2,4,6457,5400,11289,507
8,2,2,1,2,8,6425,5424,11289,254
8,2,2,2,1,1,6969,5099,11289,3584
