Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,175807,5239,24951,0
1,2,1,1,1,1,165471,15409,28031,0
1,2,1,1,2,1,203421,17509,33151,27656
1,2,1,1,2,2,160407,21607,33151,4100
1,2,1,2,1,1,164435,18481,28031,0
1,2,1,2,2,1,200337,18533,33151,27656
1,2,1,2,2,2,157323,22631,33151,4100
1,2,2,1,1,1,163192,19082,34243,0
1,2,2,1,2,1,197890,19978,39363,27656
1,2,2,1,2,2,157948,27148,39363,4100
1,2,2,2,1,1,162168,22166,34243,0
1,2,2,2,2,1,196866,23062,39363,27656
1,2,2,2,2,2,156924,30232,39363,4100
1,4,2,1,1,1,149499,9489,35271,0
1,4,2,1,2,1,197630,13582,41415,35848
1,4,2,1,2,2,141305,22799,41415,3076
1,4,2,2,1,1,145387,9489,35271,0
1,4,2,2,2,1,194542,14606,41415,35848
1,4,2,2,2,2,138217,23823,41415,3076
1,4,3,1,1,1,151448,14654,34311,0
1,4,3,1,2,1,195490,14658,40455,35848
1,4,3,1,2,2,140189,23875,40455,3588
1,4,3,2,1,1,147348,14666,34311,0
1,4,3,2,2,1,192414,15694,40455,35848
1,4,3,2,2,2,137113,24911,40455,3588
1,4,4,1,1,1,152276,15614,34311,0
1,4,4,1,2,1,195482,14782,40455,35848
1,4,4,1,2,2,140181,23999,40455,3588
1,4,4,2,1,1,148176,15626,34311,0
1,4,4,2,2,1,192406,15818,40455,35848
1,4,4,2,2,2,137105,25035,40455,3588
2,1,1,1,1,1,116562,4906,24956,27261
2,1,1,1,1,2,98965,4843,24956,6732
2,2,1,1,1,1,110298,12758,28036,27468
2,2,1,1,1,2,90879,14727,28036,5655
2,2,1,1,2,1,115089,17385,33156,54435
2,2,1,1,2,2,90342,20895,33156,14292
2,2,1,1,2,4,83421,21502,33156,6495
2,2,1,2,1,1,106500,16647,28036,22381
2,2,1,2,1,2,92043,18091,28036,5830
2,2,1,2,2,1,112657,18200,33156,53143
2,2,1,2,2,2,88286,21988,33156,14016
2,2,1,2,2,4,81828,22503,33156,6484
2,2,2,1,1,1,108293,16832,34248,25058
2,2,2,1,1,2,91653,18402,34248,6704
