Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,3332415907,284381365,738979426,0
1,2,1,1,1,1,3222263233,248916325,815386471,0
1,2,1,1,2,1,3171517797,187613395,815387495,8451118
1,2,1,1,2,2,3159889227,192868613,815387495,9224
1,2,1,2,1,1,3222263233,248916325,815386471,0
1,2,1,2,2,1,3171517797,187613395,815387495,8451118
1,2,1,2,2,2,3159889227,192868613,815387495,9224
1,2,2,1,1,1,3162123779,443099967,1070714970,0
1,2,2,1,2,1,3230563426,500982120,1070715994,8451118
1,2,2,1,2,2,3218934836,506237318,1070715994,9224
1,2,2,2,1,1,3162123779,443099967,1070714970,0
1,2,2,2,2,1,3230563426,500982120,1070715994,8451118
1,2,2,2,2,2,3218934836,506237318,1070715994,9224
1,4,2,1,1,1,2893366123,227536186,1050810462,0
1,4,2,1,2,1,2910327375,233936880,1050811486,10559534
1,4,2,1,2,2,2892384783,237086716,1050811486,13320
1,4,2,2,1,1,2882840057,227536186,1050810462,0
1,4,2,2,2,1,2899801309,233936880,1050811486,10559534
1,4,2,2,2,2,2881858717,237086716,1050811486,13320
1,4,3,1,1,1,2818392660,287583141,1029834842,0
1,4,3,1,2,1,2854229135,312859058,1029835866,10559534
1,4,3,1,2,2,2836291675,316014026,1029835866,13320
1,4,3,2,1,1,2807866594,287583141,1029834842,0
1,4,3,2,2,1,2854179613,323335602,1029835866,10559534
1,4,3,2,2,2,2836242153,326490570,1029835866,13320
1,4,4,1,1,1,2821814910,281577423,1039262810,0
1,4,4,1,2,1,2844188901,293390852,1039263838,10559534
1,4,4,1,2,2,2825202865,295497244,1039263838,13320
1,4,4,2,1,1,2811288844,281577423,1039262810,0
1,4,4,2,2,1,2844139379,303867396,1039263838,10559534
1,4,4,2,2,2,2825153343,305973788,1039263838,13320
2,1,1,1,1,1,1687982466,284276185,738979433,1599966
2,1,1,1,1,2,1686865473,284329776,738979433,836801
2,2,1,1,1,1,1632661098,248841132,815386478,1674314
2,2,1,1,1,2,1631449687,248878178,815386478,877836
2,2,1,1,2,1,1606072102,187364244,815387502,10274566
2,2,1,1,2,2,1600263283,192643566,815387502,1940438
2,2,1,1,2,4,1598435714,192749108,815387502,426045
2,2,1,2,1,1,1632661098,248841132,815386478,1674314
2,2,1,2,1,2,1631449687,248878178,815386478,877836
2,2,1,2,2,1,1606072102,187364244,815387502,10274566
2,2,1,2,2,2,1600263283,192643566,815387502,1940438
2,2,1,2,2,4,1598435714,192749108,815387502,426045
2,2,2,1,1,1,1629720970,498641719,1070714979,1628754
2,2,2,1,1,2,1628620217,498735429,1070714979,869951
2,2,2,1,2,1,1607114284,442068702,1070716003,10327660
2,2,2,1,2,2,1598675260,442088997,1070716003,2016002
2,2,2,1,2,4,1596735772,442089155,1070716003,438375
2,2,2,2,1,1,1629720970,498641719,1070714979,1628754
2,2,2,2,1,2,1628620217,498735429,1070714979,869951
2,2,2,2,2,1,1607114284,442068702,1070716003,10327660
