Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,47063707,4022280,10758779,0
1,2,1,1,1,1,44555745,2489423,11485768,0
1,2,1,1,2,1,44855107,2489422,11485768,256595
1,2,1,1,2,2,44341920,2489423,11485768,1
1,2,1,2,1,1,44555745,2489423,11485768,0
1,2,1,2,2,1,44855107,2489422,11485768,256595
1,2,1,2,2,2,44341920,2489423,11485768,1
1,2,2,1,1,1,45659508,6147888,14956658,0
1,2,2,1,2,1,45873345,6062363,14956658,256595
1,2,2,1,2,2,45360163,6062369,14956658,1
1,2,2,2,1,1,45659508,6147888,14956658,0
1,2,2,2,2,1,45873345,6062363,14956658,256595
1,2,2,2,2,2,45360163,6062369,14956658,1
1,4,2,1,1,1,42195831,3246771,14785603,0
1,4,2,1,2,1,42623482,3289537,14785603,384887
1,4,2,1,2,2,41896478,3332303,14785603,1
1,4,2,2,1,1,42110303,3246771,14785603,0
1,4,2,2,2,1,42537954,3289537,14785603,384887
1,4,2,2,2,2,41810950,3332303,14785603,1
1,4,3,1,1,1,40617029,3410956,14571789,0
1,4,3,1,2,1,40959150,3368192,14571789,384887
1,4,3,1,2,2,40317674,3496486,14571789,1
1,4,3,2,1,1,40617029,3496484,14571789,0
1,4,3,2,2,1,40959150,3453720,14571789,384887
1,4,3,2,2,2,40317674,3582014,14571789,1
1,4,4,1,1,1,40863317,3528958,14700075,0
1,4,4,1,2,1,41290966,3571722,14700075,384887
1,4,4,1,2,2,40606726,3657252,14700075,1
1,4,4,2,1,1,40863317,3614486,14700075,0
1,4,4,2,2,1,41290966,3657250,14700075,384887
1,4,4,2,2,2,40606726,3742780,14700075,1
2,1,1,1,1,1,23571890,4019451,10758801,24318
2,1,1,1,1,2,23562009,4021288,10758801,10624
2,2,1,1,1,1,22320178,2487453,11485791,26972
2,2,1,1,1,2,22307426,2488308,11485791,11439
2,2,1,1,2,1,22464888,2487866,11485791,287770
2,2,1,1,2,2,22204422,2488646,11485791,13742
2,2,1,1,2,4,22199604,2488977,11485791,6306
2,2,1,2,1,1,22320178,2487453,11485791,26972
2,2,1,2,1,2,22307426,2488308,11485791,11439
2,2,1,2,2,1,22464888,2487866,11485791,287770
2,2,1,2,2,2,22204422,2488646,11485791,13742
2,2,1,2,2,4,22199604,2488977,11485791,6306
2,2,2,1,1,1,22868535,6145692,14956683,23905
2,2,2,1,1,2,22859356,6146519,14956683,11360
2,2,2,1,2,1,22975906,6061176,14956683,289063
2,2,2,1,2,2,22713895,6061809,14956683,14160
2,2,2,1,2,4,22708883,6061917,14956683,6320
2,2,2,2,1,1,22868535,6145692,14956683,23905
2,2,2,2,1,2,22859356,6146519,14956683,11360
2,2,2,2,2,1,22975906,6061176,14956683,289063
2,2,2,2,2,2,22713895,6061809,14956683,14160
2,2,2,2,2,4,22708883,6061917,14956683,6320
2,4,2,1,1,1,21140012,3246775,14785629,28242
2,4,2,1,1,2,21126042,3246776,14785629,12460
