Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,197835,81,61426,0
1,2,1,1,1,1,198655,8206,71465,0
1,2,1,1,2,1,199622,8869,71193,293
1,2,1,1,2,2,199616,8871,71193,289
1,2,1,2,1,1,198655,8342,71465,0
1,2,1,2,2,1,199486,8869,71193,293
1,2,1,2,2,2,199480,8871,71193,289
1,2,2,1,1,1,196179,17044,79931,0
1,2,2,1,2,1,199229,19791,79659,293
1,2,2,1,2,2,199223,19793,79659,289
1,2,2,2,1,1,196044,17045,79931,0
1,2,2,2,2,1,199228,19926,79659,293
1,2,2,2,2,2,199222,19928,79659,289
1,4,2,1,1,1,187550,10737,79939,0
1,4,2,1,2,1,187232,10126,79667,293
1,4,2,1,2,2,187225,10127,79667,289
1,4,2,2,1,1,187389,10737,79939,0
1,4,2,2,2,1,187071,10126,79667,293
1,4,2,2,2,2,187064,10127,79667,289
1,4,3,1,1,1,187271,10507,79941,0
1,4,3,1,2,1,188819,12034,79669,293
1,4,3,1,2,2,188812,12035,79669,289
1,4,3,2,1,1,187109,10507,79941,0
1,4,3,2,2,1,188657,12034,79669,293
1,4,3,2,2,2,188650,12035,79669,289
1,4,4,1,1,1,187278,10522,79941,0
1,4,4,1,2,1,188826,12049,79669,293
1,4,4,1,2,2,188819,12050,79669,289
1,4,4,2,1,1,187116,10522,79941,0
1,4,4,2,2,1,188664,12049,79669,293
1,4,4,2,2,2,188657,12050,79669,289
2,1,1,1,1,1,104996,84,61436,202
2,1,1,1,1,2,104821,84,61436,51
2,2,1,1,1,1,106245,9208,71475,450
2,2,1,1,1,2,105798,9212,71475,64
2,2,1,1,2,1,105880,8542,71203,619
2,2,1,1,2,2,105535,8546,71203,305
2,2,1,1,2,4,105535,8547,71203,304
2,2,1,2,1,1,106012,9210,71475,300
2,2,1,2,1,2,105729,9213,71475,66
2,2,1,2,2,1,105879,8677,71203,619
2,2,1,2,2,2,105534,8681,71203,305
2,2,1,2,2,4,105534,8682,71203,304
2,2,2,1,1,1,106029,20140,79941,445
2,2,2,1,1,2,105604,20141,79941,69
2,2,2,1,2,1,104249,17420,79669,321
2,2,2,1,2,2,104238,17426,79669,298
2,2,2,1,2,4,104238,17426,79669,298
2,2,2,2,1,1,106028,20274,79941,445
2,2,2,2,1,2,105603,20275,79941,69
2,2,2,2,2,1,104178,17422,79669,321
2,2,2,2,2,2,104167,17428,79669,298
2,2,2,2,2,4,104167,17428,79669,298
2,4,2,1,1,1,98403,7688,79949,614
2,4,2,1,1,2,97856,7689,79949,129
2,4,2,1,2,1,101293,11335,79677,1717
2,4,2,1,2,2,100165,11338,79677,673
2,4,2,1,2,4,99840,11339,79677,361
2,4,2,2,1,1,98233,7689,79949,539
2,4,2,2,1,2,97689,7690,79949,57
2,4,2,2,2,1,101273,11470,79677,1713
2,4,2,2,2,2,100144,11473,79677,661
2,4,2,2,2,4,99851,11474,79677,381
2,4,3,1,1,1,99342,10017,79951,445
2,4,3,1,1,2,99019,10019,79951,109
2,4,3,1,2,1,100905,11651,79679,1519
2,4,3,1,2,2,99971,11654,79679,520
2,4,3,1,2,4,99825,11655,79679,358
2,4,3,2,1,1,99244,10017,79951,378
2,4,3,2,1,2,98878,10019,79951,51
2,4,3,2,2,1,100807,11760,79679,1411
2,4,3,2,2,2,99877,11762,79679,451
2,4,3,2,2,4,99799,11764,79679,360
2,4,4,1,1,1,99314,10009,79951,387
2,4,4,1,1,2,99048,10014,79951,144
2,4,4,1,2,1,100655,11646,79679,1240
2,4,4,1,2,2,99924,11649,79679,470
2,4,4,1,2,4,99818,11650,79679,358
2,4,4,2,1,1,99237,10011,79951,380
2,4,4,2,1,2,98929,10013,79951,116
2,4,4,2,2,1,100743,11754,79679,1350
2,4,4,2,2,2,99960,11757,79679,549
2,4,4,2,2,4,99790,11759,79679,357
4,1,1,1,1,1,60469,85,61451,3988
4,1,1,1,1,2,58918,90,61451,1121
4,1,1,1,1,4,58423,94,61451,309
4,2,1,1,1,1,60818,9203,71489,3887
4,2,1,1,1,2,59488,9209,71489,1213
4,2,1,1,1,4,59123,9213,71489,555
4,2,1,1,2,1,61357,8545,71217,5383
4,2,1,1,2,2,59455,8555,71217,1746
4,2,1,1,2,4,58877,8560,71217,724
4,2,1,1,2,8,58744,8559,71217,503
4,2,1,2,1,1,60689,9204,71489,3490
4,2,1,2,1,2,59416,9210,71489,1162
4,2,1,2,1,4,59070,9214,71489,556
4,2,1,2,2,1,61356,8680,71217,5383
4,2,1,2,2,2,59454,8690,71217,1746
4,2,1,2,2,4,58876,8695,71217,724
4,2,1,2,2,8,58743,8694,71217,503
4,2,2,1,1,1,61006,20087,79956,3937
4,2,2,1,1,2,59233,20094,79956,919
4,2,2,1,1,4,58769,20098,79956,194
4,2,2,1,2,1,60373,17460,79684,4917
4,2,2,1,2,2,58710,17471,79684,1685
4,2,2,1,2,4,58145,17475,79684,678
4,2,2,1,2,8,58013,17476,79684,459
4,2,2,2,1,1,60844,20219,79956,4017
4,2,2,2,1,2,59230,20226,79956,920
4,2,2,2,1,4,58768,20230,79956,194
4,2,2,2,2,1,60334,17462,79684,4895
4,2,2,2,2,2,58698,17474,79684,1745
4,2,2,2,2,4,58129,17479,79684,723
4,2,2,2,2,8,57988,17480,79684,479
4,4,2,1,1,1,57193,7677,79964,5218
4,4,2,1,1,2,55068,7684,79964,1231
4,4,2,1,1,4,54539,7687,79964,366
4,4,2,1,2,1,58195,11333,79692,5481
4,4,2,1,2,2,56188,11337,79692,1732
4,4,2,1,2,4,55687,11342,79692,777
4,4,2,1,2,8,55508,11343,79692,432
4,4,2,2,1,1,57307,7680,79964,5278
4,4,2,2,1,2,54965,7683,79964,1120
4,4,2,2,1,4,54530,7688,79964,410
4,4,2,2,2,1,58230,11467,79692,5555
4,4,2,2,2,2,56150,11471,79692,1751
4,4,2,2,2,4,55737,11477,79692,830
4,4,2,2,2,8,55482,11476,79692,414
4,4,3,1,1,1,57561,10011,79966,4654
4,4,3,1,1,2,55643,10015,79966,1191
4,4,3,1,1,4,55222,10019,79966,378
4,4,3,1,2,1,58065,11653,79694,5234
4,4,3,1,2,2,56269,11655,79694,1860
4,4,3,1,2,4,55650,11661,79694,572
4,4,3,1,2,8,55546,11661,79694,456
4,4,3,2,1,1,57409,10011,79966,4370
4,4,3,2,1,2,55606,10014,79966,1181
4,4,3,2,1,4,55229,10018,79966,522
4,4,3,2,2,1,58038,11762,79694,5309
4,4,3,2,2,2,56138,11765,79694,1699
4,4,3,2,2,4,55584,11769,79694,542
4,4,3,2,2,8,55490,11770,79694,420
4,4,4,1,1,1,57489,10006,79966,4483
4,4,4,1,1,2,55588,10008,79966,1105
4,4,4,1,1,4,55277,10013,79966,511
4,4,4,1,2,1,58015,11647,79694,5094
4,4,4,1,2,2,56255,11650,79694,1855
4,4,4,1,2,4,55673,11656,79694,753
4,4,4,1,2,8,55538,11656,79694,499
4,4,4,2,1,1,57312,10005,79966,4508
4,4,4,2,1,2,55612,10009,79966,1129
4,4,4,2,1,4,55213,10013,79966,463
4,4,4,2,2,1,58039,11756,79694,5237
4,4,4,2,2,2,56215,11759,79694,1750
4,4,4,2,2,4,55652,11764,79694,694
4,4,4,2,2,8,55526,11765,79694,505
8,1,1,1,1,1,39829,87,61477,19527
8,1,1,1,1,2,36840,96,61477,6004
8,1,1,1,1,4,35729,102,61477,2273
8,1,1,1,1,8,35279,106,61477,979
8,2,1,1,1,1,40107,9200,71516,20208
8,2,1,1,1,2,37181,9207,71516,6307
8,2,1,1,1,4,36049,9213,71516,2296
8,2,1,1,1,8,35604,9216,71516,1006
8,2,1,1,2,1,40270,8556,71244,21889
8,2,1,1,2,2,37203,8569,71244,7387
8,2,1,1,2,4,36034,8581,71244,3142
8,2,1,1,2,8,35583,8582,71244,1651
8,2,1,2,1,1,40124,9201,71516,20238
8,2,1,2,1,2,37155,9209,71516,6251
8,2,1,2,1,4,36075,9214,71516,2357
8,2,1,2,1,8,35589,9217,71516,1014
8,2,1,2,2,1,40269,8691,71244,21889
8,2,1,2,2,2,37202,8704,71244,7387
8,2,1,2,2,4,36033,8716,71244,3142
8,2,1,2,2,8,35582,8717,71244,1651
8,2,2,1,1,1,40169,19991,79982,20244
