Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,215359,16648,49422,0
1,2,1,1,1,1,198970,263,65809,0
1,2,1,1,2,1,231745,16648,65809,16387
1,2,1,1,2,2,231741,16648,65809,16385
1,2,1,2,1,1,198970,263,65809,0
1,2,1,2,2,1,231745,16648,65809,16387
1,2,1,2,2,2,231741,16648,65809,16385
1,2,2,1,1,1,215352,33289,66066,0
1,2,2,1,2,1,231741,33288,66066,16387
1,2,2,1,2,2,231737,33288,66066,16385
1,2,2,2,1,1,215352,33289,66066,0
1,2,2,2,2,1,231741,33288,66066,16387
1,2,2,2,2,2,231737,33288,66066,16385
1,4,2,1,1,1,165682,4,66066,0
1,4,2,1,2,1,182069,5,66066,16387
1,4,2,1,2,2,182067,5,66066,16385
1,4,2,2,1,1,165682,4,66066,0
1,4,2,2,2,1,182069,5,66066,16387
1,4,2,2,2,2,182067,5,66066,16385
1,4,3,1,1,1,165426,4,66066,0
1,4,3,1,2,1,181813,5,66066,16387
1,4,3,1,2,2,181811,5,66066,16385
1,4,3,2,1,1,165426,4,66066,0
1,4,3,2,2,1,181813,5,66066,16387
1,4,3,2,2,2,181811,5,66066,16385
1,4,4,1,1,1,165426,4,66066,0
1,4,4,1,2,1,181813,5,66066,16387
1,4,4,1,2,2,181811,5,66066,16385
1,4,4,2,1,1,165426,4,66066,0
1,4,4,2,2,1,181813,5,66066,16387
1,4,4,2,2,2,181811,5,66066,16385
2,1,1,1,1,1,108685,16411,49730,4
2,1,1,1,1,2,108682,16412,49730,1
2,2,1,1,1,1,108422,23,66126,7941
2,2,1,1,1,2,100480,24,66126,1
2,2,1,1,2,1,116870,16408,66126,16395
2,2,1,1,2,2,116865,16410,66126,16389
2,2,1,1,2,4,116864,16411,66126,16388
2,2,1,2,1,1,108422,23,66126,7941
2,2,1,2,1,2,100480,24,66126,1
2,2,1,2,2,1,116870,16408,66126,16395
2,2,1,2,2,2,116865,16410,66126,16389
2,2,1,2,2,4,116864,16411,66126,16388
2,2,2,1,1,1,100483,16931,66638,6
2,2,2,1,1,2,100475,16932,66638,1
2,2,2,1,2,1,116863,33315,66638,16397
2,2,2,1,2,2,116860,33318,66638,16389
2,2,2,1,2,4,116859,33319,66638,16388
2,2,2,2,1,1,100483,16931,66638,6
2,2,2,2,1,2,100475,16932,66638,1
2,2,2,2,2,1,116863,33315,66638,16397
2,2,2,2,2,2,116860,33318,66638,16389
2,2,2,2,2,4,116859,33319,66638,16388
2,4,2,1,1,1,83833,16,66642,6
2,4,2,1,1,2,83827,16,66642,2
2,4,2,1,2,1,92026,18,66642,16397
2,4,2,1,2,2,92018,18,66642,16391
2,4,2,1,2,4,92016,18,66642,16386
2,4,2,2,1,1,83833,16,66642,6
2,4,2,2,1,2,83827,16,66642,2
2,4,2,2,2,1,92026,18,66642,16397
2,4,2,2,2,2,92018,18,66642,16391
2,4,2,2,2,4,92016,18,66642,16386
2,4,3,1,1,1,91767,16409,66638,4
2,4,3,1,1,2,91764,16410,66638,1
2,4,3,1,2,1,99962,16410,66638,16397
2,4,3,1,2,2,99958,16411,66638,16392
2,4,3,1,2,4,99955,16412,66638,16386
2,4,3,2,1,1,91767,16409,66638,4
2,4,3,2,1,2,91764,16410,66638,1
2,4,3,2,2,1,99962,16410,66638,16397
