Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,986056,82371,295557,0
1,2,1,1,1,1,957078,119123,361093,0
1,2,1,1,2,1,957207,119122,361093,66
1,2,1,1,2,2,957205,119124,361093,64
1,2,1,2,1,1,957078,119123,361093,0
1,2,1,2,2,1,957207,119122,361093,66
1,2,1,2,2,2,957205,119124,361093,64
1,2,2,1,1,1,924213,135731,344773,0
1,2,2,1,2,1,952742,115026,361157,16450
1,2,2,1,2,2,924068,119124,361157,64
1,2,2,2,1,1,924213,135731,344773,0
1,2,2,2,2,1,952742,115026,361157,16450
1,2,2,2,2,2,924068,119124,361157,64
1,4,2,1,1,1,952674,147856,377557,0
1,4,2,1,2,1,952725,147841,377557,66
1,4,2,1,2,2,952721,147841,377557,64
1,4,2,2,1,1,952674,147856,377557,0
1,4,2,2,2,1,952725,147841,377557,66
1,4,2,2,2,2,952721,147841,377557,64
1,4,3,1,1,1,858418,53616,377589,0
1,4,3,1,2,1,899429,61777,377605,16450
1,4,3,1,2,2,866657,61777,377605,64
1,4,3,2,1,1,858418,53616,377589,0
1,4,3,2,2,1,899429,61777,377605,16450
1,4,3,2,2,2,866657,61777,377605,64
1,4,4,1,1,1,870754,82336,361205,0
1,4,4,1,2,1,895365,90481,361221,16450
1,4,4,1,2,2,862593,90481,361221,64
1,4,4,2,1,1,870754,82336,361205,0
1,4,4,2,2,1,895365,90481,361221,16450
1,4,4,2,2,2,862593,90481,361221,64
2,1,1,1,1,1,494056,81875,295564,761
2,1,1,1,1,2,493056,82374,295564,3
2,2,1,1,1,1,478567,119123,361100,7
2,2,1,1,1,2,478569,119124,361100,5
2,2,1,1,2,1,478632,119123,361100,90
2,2,1,1,2,2,478624,119130,361100,66
2,2,1,1,2,4,478623,119130,361100,66
2,2,1,2,1,1,478567,119123,361100,7
2,2,1,2,1,2,478569,119124,361100,5
2,2,1,2,2,1,478632,119123,361100,90
2,2,1,2,2,2,478624,119130,361100,66
2,2,1,2,2,4,478623,119130,361100,66
2,2,2,1,1,1,449799,111063,344782,7
2,2,2,1,1,2,449803,111064,344782,6
2,2,2,1,2,1,476504,115239,361166,16474
2,2,2,1,2,2,476497,115245,361166,16453
2,2,2,1,2,4,466255,127534,361166,66
2,2,2,2,1,1,449799,111063,344782,7
2,2,2,2,1,2,449803,111064,344782,6
2,2,2,2,2,1,476504,115239,361166,16474
2,2,2,2,2,2,476497,115245,361166,16453
2,2,2,2,2,4,466255,127534,361166,66
2,4,2,1,1,1,427135,49399,377566,7
2,4,2,1,1,2,427138,49400,377566,5
2,4,2,1,2,1,454573,49464,377566,13780
2,4,2,1,2,2,427193,49467,377566,70
2,4,2,1,2,4,427195,49468,377566,68
2,4,2,2,1,1,427135,49399,377566,7
2,4,2,2,1,2,427138,49400,377566,5
2,4,2,2,2,1,454573,49464,377566,13780
2,4,2,2,2,2,427193,49467,377566,70
2,4,2,2,2,4,427195,49468,377566,68
2,4,3,1,1,1,457894,110935,377598,7
2,4,3,1,1,2,457896,110936,377598,5
2,4,3,1,2,1,484584,131432,377614,16488
2,4,3,1,2,2,484564,131434,377614,16457
2,4,3,1,2,4,468177,131435,377614,67
2,4,3,2,1,1,457894,110935,377598,7
2,4,3,2,1,2,457896,110936,377598,5
2,4,3,2,2,1,484584,131432,377614,16488
2,4,3,2,2,2,484564,131434,377614,16457
2,4,3,2,2,4,468177,131435,377614,67
2,4,4,1,1,1,427150,65831,361214,7
2,4,4,1,1,2,427151,65832,361214,4
2,4,4,1,2,1,439182,61752,361230,21027
2,4,4,1,2,2,433342,61754,361230,16458
2,4,4,1,2,4,416954,61755,361230,68
