Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,3380312,360899,1099205,0
1,2,1,1,1,1,3232406,360451,1131909,0
1,2,1,1,2,1,3330711,344066,1131909,98306
1,2,1,1,2,2,3281301,360452,1131909,65408
1,2,1,2,1,1,3232406,360451,1131909,0
1,2,1,2,2,1,3330711,344066,1131909,98306
1,2,1,2,2,2,3281301,360452,1131909,65408
1,2,2,1,1,1,3035925,196995,1131973,0
1,2,2,1,2,1,3183255,229635,1131973,98306
1,2,2,1,2,2,3150229,262405,1131973,65408
1,2,2,2,1,1,3035925,196995,1131973,0
1,2,2,2,2,1,3183255,229635,1131973,98306
1,2,2,2,2,2,3150229,262405,1131973,65408
1,4,2,1,1,1,2921170,115008,1115653,0
1,4,2,1,2,1,3117781,131393,1148357,147522
1,4,2,1,2,2,3051985,164161,1148357,98240
1,4,2,2,1,1,2921170,115008,1115653,0
1,4,2,2,2,1,3117781,131393,1148357,147522
1,4,2,2,2,2,3051985,164161,1148357,98240
1,4,3,1,1,1,2937427,147713,1115589,0
1,4,3,1,2,1,3101397,131393,1148357,147522
1,4,3,1,2,2,3035601,164161,1148357,98240
1,4,3,2,1,1,2937427,147713,1115589,0
1,4,3,2,2,1,3101397,131393,1148357,147522
1,4,3,2,2,2,3035601,164161,1148357,98240
1,4,4,1,1,1,2937427,147713,1115589,0
1,4,4,1,2,1,3101397,131393,1148357,147522
1,4,4,1,2,2,3035601,164161,1148357,98240
1,4,4,2,1,1,2937427,147713,1115589,0
1,4,4,2,2,1,3101397,131393,1148357,147522
1,4,4,2,2,2,3035601,164161,1148357,98240
2,1,1,1,1,1,1742514,352574,1099212,43444
2,1,1,1,1,2,1710066,358128,1099212,16670
2,2,1,1,1,1,1676829,352587,1131916,40431
2,2,1,1,1,2,1644004,357483,1131916,20070
2,2,1,1,2,1,1739664,341230,1131916,171938
2,2,1,1,2,2,1656996,360454,1131916,81735
2,2,1,1,2,4,1612923,359915,1131916,36460
2,2,1,2,1,1,1676829,352587,1131916,40431
2,2,1,2,1,2,1644004,357483,1131916,20070
2,2,1,2,2,1,1739664,341230,1131916,171938
2,2,1,2,2,2,1656996,360454,1131916,81735
2,2,1,2,2,4,1612923,359915,1131916,36460
2,2,2,1,1,1,1673049,366600,1131982,44808
2,2,2,1,1,2,1635090,374369,1131982,20122
2,2,2,1,2,1,1727079,357620,1131982,169225
2,2,2,1,2,2,1648836,377162,1131982,81735
2,2,2,1,2,4,1608371,376133,1131982,38692
2,2,2,2,1,1,1673049,366600,1131982,44808
2,2,2,2,1,2,1635090,374369,1131982,20122
2,2,2,2,2,1,1727079,357620,1131982,169225
2,2,2,2,2,2,1648836,377162,1131982,81735
2,2,2,2,2,4,1608371,376133,1131982,38692
2,4,2,1,1,1,1559047,140723,1115662,65401
2,4,2,1,1,2,1516442,146623,1115662,27114
2,4,2,1,2,1,1697868,311496,1148366,245325
2,4,2,1,2,2,1607940,327882,1148366,98313
2,4,2,1,2,4,1591561,327884,1148366,81930
2,4,2,2,1,1,1559047,140723,1115662,65401
