Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,2231128,53699,666181,0
1,2,1,1,1,1,2228822,164035,829957,0
1,2,1,1,2,1,2376280,149699,832005,129026
1,2,1,1,2,2,2200150,174277,832005,28672
1,2,1,2,1,1,2228822,164035,829957,0
1,2,1,2,2,1,2376280,149699,832005,129026
1,2,1,2,2,2,2200150,174277,832005,28672
1,2,2,1,1,1,2228757,166339,830021,0
1,2,2,1,2,1,2375895,153795,832005,129026
1,2,2,1,2,2,2212053,178373,832005,34816
1,2,2,2,1,1,2228757,166339,830021,0
1,2,2,2,2,1,2375895,153795,832005,129026
1,2,2,2,2,2,2212053,178373,832005,34816
1,4,2,1,1,1,2148626,92416,827973,0
1,4,2,1,2,1,2300181,108737,830021,133186
1,4,2,1,2,2,2283345,108801,830021,124736
1,4,2,2,1,1,2148626,92416,827973,0
1,4,2,2,2,1,2300181,108737,830021,133186
1,4,2,2,2,2,2283345,108801,830021,124736
1,4,3,1,1,1,2148626,92416,827973,0
1,4,3,1,2,1,2300181,108737,830021,133186
1,4,3,1,2,2,2283345,108801,830021,124736
1,4,3,2,1,1,2148626,92416,827973,0
1,4,3,2,2,1,2300181,108737,830021,133186
1,4,3,2,2,2,2283345,108801,830021,124736
1,4,4,1,1,1,2148626,92416,827973,0
1,4,4,1,2,1,2300181,108737,830021,133186
1,4,4,1,2,2,2283345,108801,830021,124736
1,4,4,2,1,1,2148626,92416,827973,0
1,4,4,2,2,1,2300181,108737,830021,133186
1,4,4,2,2,2,2283345,108801,830021,124736
2,1,1,1,1,1,1233945,47438,666190,86633
2,1,1,1,1,2,1169830,51737,666190,37292
2,2,1,1,1,1,1231345,162204,829966,100401
2,2,1,1,1,2,1182348,164660,829966,45529
2,2,1,1,2,1,1293974,195064,832014,227463
2,2,1,1,2,2,1175337,248772,832014,53108
2,2,1,1,2,4,1154367,252044,832014,35518
2,2,1,2,1,1,1231345,162204,829966,100401
2,2,1,2,1,2,1182348,164660,829966,45529
2,2,1,2,2,1,1293974,195064,832014,227463
2,2,1,2,2,2,1175337,248772,832014,53108
2,2,1,2,2,4,1154367,252044,832014,35518
2,2,2,1,1,1,1235150,163190,830030,85067
2,2,2,1,1,2,1175307,165136,830030,40578
2,2,2,1,2,1,1292470,195407,832014,228822
2,2,2,1,2,2,1177945,244806,832014,60599
2,2,2,1,2,4,1157080,247778,832014,42707
2,2,2,2,1,1,1235150,163190,830030,85067
2,2,2,2,1,2,1175307,165136,830030,40578
2,2,2,2,2,1,1292470,195407,832014,228822
2,2,2,2,2,2,1177945,244806,832014,60599
2,2,2,2,2,4,1157080,247778,832014,42707
2,4,2,1,1,1,1186500,74508,827982,85840
2,4,2,1,1,2,1131900,75511,827982,45857
2,4,2,1,2,1,1224237,96456,830030,226631
2,4,2,1,2,2,1167875,96513,830030,153875
2,4,2,1,2,4,1148352,96522,830030,137816
2,4,2,2,1,1,1186500,74508,827982,85840
2,4,2,2,1,2,1131900,75511,827982,45857
2,4,2,2,2,1,1224237,96456,830030,226631
2,4,2,2,2,2,1167875,96513,830030,153875
2,4,2,2,2,4,1148352,96522,830030,137816
2,4,3,1,1,1,1186500,74510,827982,85840
2,4,3,1,1,2,1131900,75513,827982,45857
