Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,2921434,164291,0,0
1,2,1,1,1,1,2265687,0,0,0
1,2,1,1,2,1,2445913,0,0,147394
1,2,1,1,2,2,2249301,0,0,49088
1,2,1,2,1,1,2265687,0,0,0
1,2,1,2,2,1,2445913,0,0,147394
1,2,1,2,2,2,2249301,0,0,49088
1,2,2,1,1,1,2183831,0,0,0
1,2,2,1,2,1,2396697,0,0,163714
1,2,2,1,2,2,2167445,0,0,49088
1,2,2,2,1,1,2183831,0,0,0
1,2,2,2,2,1,2396697,0,0,163714
1,2,2,2,2,2,2167445,0,0,49088
1,4,3,1,1,1,2150807,0,0,0
1,4,3,1,2,1,2314651,0,0,163844
1,4,3,1,2,2,2117907,0,0,65472
1,4,3,2,1,1,2150807,0,0,0
1,4,3,2,2,1,2314651,0,0,163844
1,4,3,2,2,2,2117907,0,0,65472
1,4,4,1,1,1,2150807,0,0,0
1,4,4,1,2,1,2347419,0,0,180228
1,4,4,1,2,2,2117907,0,0,65472
1,4,4,2,1,1,2150807,0,0,0
1,4,4,2,2,1,2347419,0,0,180228
1,4,4,2,2,2,2117907,0,0,65472
2,1,1,1,1,1,1544014,164285,0,67000
2,1,1,1,1,2,1496989,164293,0,23682
2,2,1,1,1,1,1263873,0,0,131017
2,2,1,1,1,2,1189844,0,0,39616
2,2,1,1,2,1,1300271,0,0,267817
2,2,1,1,2,2,1184615,0,0,113500
2,2,1,1,2,4,1112323,0,0,36747
2,2,1,2,1,1,1263873,0,0,131017
2,2,1,2,1,2,1189844,0,0,39616
2,2,1,2,2,1,1300271,0,0,267817
2,2,1,2,2,2,1184615,0,0,113500
2,2,1,2,2,4,1112323,0,0,36747
2,2,2,1,1,1,1222945,0,0,131017
2,2,2,1,1,2,1149872,0,0,40894
2,2,2,1,2,1,1275028,0,0,301875
2,2,2,1,2,2,1138572,0,0,98019
2,2,2,1,2,4,1081583,0,0,43005
2,2,2,2,1,1,1222945,0,0,131017
2,2,2,2,1,2,1149872,0,0,40894
2,2,2,2,2,1,1275028,0,0,301875
2,2,2,2,2,2,1138572,0,0,98019
2,2,2,2,2,4,1081583,0,0,43005
2,4,3,1,1,1,1182610,0,0,90414
2,4,3,1,1,2,1127607,0,0,30544
2,4,3,1,2,1,1232120,0,0,309260
2,4,3,1,2,2,1103960,0,0,126947
2,4,3,1,2,4,1064188,0,0,68681
2,4,3,2,1,1,1182610,0,0,90414
2,4,3,2,1,2,1127607,0,0,30544
2,4,3,2,2,1,1232120,0,0,309260
2,4,3,2,2,2,1103960,0,0,126947
