Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,2314842,53699,0,0
1,2,1,1,1,1,1886871,0,0,0
1,2,1,1,2,1,1991321,0,0,100290
1,2,1,1,2,2,1888661,0,0,48960
1,2,1,2,1,1,1886871,0,0,0
1,2,1,2,2,1,1991321,0,0,100290
1,2,1,2,2,2,1888661,0,0,48960
1,2,2,1,1,1,1870487,0,0,0
1,2,2,1,2,1,2028057,0,0,135042
1,2,2,1,2,2,1884565,0,0,63296
1,2,2,2,1,1,1870487,0,0,0
1,2,2,2,2,1,2028057,0,0,135042
1,2,2,2,2,2,1884565,0,0,63296
1,4,3,1,1,1,1771927,0,0,0
1,4,3,1,2,1,1980827,0,0,176132
1,4,3,1,2,2,1820691,0,0,96064
1,4,3,2,1,1,1771927,0,0,0
1,4,3,2,2,1,1980827,0,0,176132
1,4,3,2,2,2,1820691,0,0,96064
1,4,4,1,1,1,1771927,0,0,0
1,4,4,1,2,1,1968539,0,0,180228
1,4,4,1,2,2,1816595,0,0,104256
1,4,4,2,1,1,1771927,0,0,0
1,4,4,2,2,1,1968539,0,0,180228
1,4,4,2,2,2,1816595,0,0,104256
2,1,1,1,1,1,1262914,49627,0,79631
2,1,1,1,1,2,1214520,52741,0,38886
2,2,1,1,1,1,1089639,0,0,108523
2,2,1,1,1,2,1009145,0,0,38266
2,2,1,1,2,1,1096435,0,0,212860
2,2,1,1,2,2,1011143,0,0,99491
2,2,1,1,2,4,972951,0,0,68985
2,2,1,2,1,1,1089639,0,0,108523
2,2,1,2,1,2,1009145,0,0,38266
2,2,1,2,2,1,1096435,0,0,212860
2,2,1,2,2,2,1011143,0,0,99491
2,2,1,2,2,4,972951,0,0,68985
2,2,2,1,1,1,1095448,0,0,145589
2,2,2,1,1,2,1023761,0,0,73911
2,2,2,1,2,1,1102465,0,0,244317
2,2,2,1,2,2,996004,0,0,108558
2,2,2,1,2,4,958026,0,0,71456
